,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307678655/,Москва,rent,flat,11,13,3,72.0,143990,0,Лефортово,шоссе Энтузиастов,3к1,Римская
1,Виталий Белоус,realtor,https://www.cian.ru/rent/flat/307596929/,Москва,rent,flat,7,17,3,84.2,110000,0,Таганский,Международная ,22С1,Римская
2,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307080777/,Москва,rent,flat,11,12,3,90.0,290000,0,Таганский, Рогожский Вал,10,Римская
3,ID 119007031,homeowner,https://www.cian.ru/rent/flat/306211595/,Москва,rent,flat,5,8,3,64.0,130000,0,Таганский, Рогожский Вал,15,Римская
4,ID 70758899,realtor,https://www.cian.ru/rent/flat/302202076/,Москва,rent,flat,19,22,3,92.0,135000,0,Таганский,Новорогожская ,30,Римская
5,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307521524/,Москва,rent,flat,14,16,3,88.0,200000,0,Хамовники,Малый Власьевский переулок,3к1,Кропоткинская
6,Проперти фо пипл,real_estate_agent,https://www.cian.ru/rent/flat/307430864/,Москва,rent,flat,4,10,4,96.0,100000,0,Даниловский,Люсиновская ,53,Серпуховская
7,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303632194/,Москва,rent,flat,5,5,3,65.2,130000,0,Замоскворечье,Пятницкая ,28,Третьяковская
8,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307549492/,Москва,rent,flat,3,33,3,100.0,120000,0,Нагатино-Садовники,1-й Нагатинский проезд,11к3,Нагатинская
9,Светлана Пашатская,realtor,https://www.cian.ru/rent/flat/307423194/,Москва,rent,flat,4,16,3,65.0,92000,0,Таганский,Таганская ,29,Марксистская
10,ID 36706777,real_estate_agent,https://www.cian.ru/rent/flat/307041346/,Москва,rent,flat,2,8,3,75.0,120000,0,Басманный, Земляной Вал,24/32,Курская
11,Кирилл Гапов,realtor,https://www.cian.ru/rent/flat/300464902/,Москва,rent,flat,3,6,2,61.1,170000,0,Таганский, Станиславского,11,Таганская
12,Елена Кобзон,realtor,https://www.cian.ru/rent/flat/307244199/,Москва,rent,flat,2,15,4,110.0,180000,0,Мещанский, Гиляровского,7,Сухаревская
13,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303276921/,Москва,rent,flat,9,13,3,120.0,170000,0,Нагатинский затон,Коломенская ,21К3,Кленовый бульвар
14,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307654921/,Москва,rent,flat,3,10,2,58.0,185000,0,Беговой,Ленинградский проспект,35,Петровский Парк
15,Татьяна Антипова,realtor,https://www.cian.ru/rent/flat/302155046/,Москва,rent,flat,2,13,3,62.0,130000,0,Замоскворечье,Новокузнецкая ,13С1,Новокузнецкая
16,Левченко-реалти,real_estate_agent,https://www.cian.ru/rent/flat/307402144/,Москва,rent,flat,4,16,4,92.2,130000,0,Академический, Шверника,3К1,Академическая
17,Александр Арно,realtor,https://www.cian.ru/rent/flat/306607880/,Москва,rent,flat,3,11,4,97.8,119000,0,Басманный,Семеновская набережная,3/1К7,Электрозаводская
18,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306790059/,Москва,rent,flat,2,9,3,70.0,150000,0,Таганский,Подколокольный переулок,16/2С1,Китай-город
19,ID 113479997,realtor,https://www.cian.ru/rent/flat/307549170/,Москва,rent,flat,9,28,3,87.0,120000,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ
20,ID 87484330,homeowner,https://www.cian.ru/rent/flat/293720088/,Москва,rent,flat,3,3,3,77.0,187000,0,Басманный, Покровка,14/2С1,Чистые пруды
21,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307387697/,Москва,rent,flat,8,12,3,64.0,120000,0,Таганский,Большой Факельный переулок,24,Марксистская
22,ID 170359,unknown,https://www.cian.ru/rent/flat/306797025/,Москва,rent,flat,3,3,3,64.0,120000,0,Басманный,Гороховский переулок,4к5с7,Курская
23,Александр Неклюдов,realtor,https://www.cian.ru/rent/flat/307679205/,Москва,rent,flat,5,12,4,88.6,150000,0,Замоскворечье,Валовая ,21К125,Павелецкая
24,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307534548/,Москва,rent,flat,6,30,3,70.0,125000,0,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская
