,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 84672,realtor,https://korolev.cian.ru/rent/flat/307712832/,Москва,rent,flat,15,16,1,36.0,35000,0,,Пионерская ,10Ак3,Ростокино
1,iRealty,real_estate_agent,https://www.cian.ru/rent/flat/307695713/,Москва,rent,flat,20,22,1,38.0,68000,0,Ярославский, Красная Сосна,3,Ростокино
2,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307670019/,Москва,rent,flat,13,23,1,25.0,65000,0,Ярославский, Красная Сосна,3,Ростокино
3,Эверест,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307668278/,Москва,rent,flat,16,17,1,31.0,43000,0,, 2-я Институтская,26А,Ростокино
4,Ирина Василевская,realtor,https://www.cian.ru/rent/flat/307635178/,Москва,rent,flat,2,14,1,39.0,65000,0,Ростокино,проспект Мира,196,Ростокино
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307627939/,Москва,rent,flat,13,20,1,25.0,65000,0,Ярославский, Красная Сосна,3,Ростокино
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307613843/,Москва,rent,flat,6,10,1,35.0,69000,0,Ростокино,проспект Мира,188,Ростокино
7,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307548090/,Москва,rent,flat,17,22,1,32.1,70000,0,Ярославский, Красная Сосна,3А,Ростокино
8,Юлиан Королев,realtor,https://korolev.cian.ru/rent/flat/307521967/,Москва,rent,flat,2,5,1,39.4,40000,0,,Бурковский проезд,56к3,Ростокино
9,Три Ступени,real_estate_agent,https://korolev.cian.ru/rent/flat/307461629/,Москва,rent,flat,1,2,1,30.0,30000,0,,Станционная ,59,Ростокино
10,,,https://www.cian.ru/rent/flat/307431094/,Москва,rent,flat,6,10,1,40.0,75000,0,Ярославский, Красная Сосна,3А,Ростокино
11,ID 71898583,homeowner,https://www.cian.ru/rent/flat/307405245/,Москва,rent,flat,9,9,1,34.2,70000,0,Ростокино,проезд Кадомцева,5К2,Ростокино
12,ID 13128969,unknown,https://korolev.cian.ru/rent/flat/307350356/,Москва,rent,flat,12,18,1,41.0,45000,0,,Советская ,47к4,Ростокино
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307055854/,Москва,rent,flat,3,22,1,36.0,60000,0,Ярославский, Красная Сосна,3,Ростокино
14,ID 12741349,realtor,https://ivanteyevka.cian.ru/rent/flat/306858182/,Москва,rent,flat,1,10,1,42.5,28000,0,пос. Челюскинский, Садовая,25Б,
15,На Петровке,real_estate_agent,https://korolev.cian.ru/rent/flat/306778176/,Москва,rent,flat,11,23,1,52.0,45000,0,,Пионерская ,19к2,Ростокино
16,ID 105577578,unknown,https://www.cian.ru/rent/flat/298736143/,Москва,rent,flat,14,22,1,33.0,65000,0,Ярославский, Красная Сосна,3А,Ростокино
17,Марина Колесникова,realtor,https://korolev.cian.ru/rent/flat/297797019/,Москва,rent,flat,5,5,1,32.0,32000,0,,Пионерская ,37,Ростокино
18,ID 43488027,unknown,https://mytishchi.cian.ru/rent/flat/292521226/,Москва,rent,flat,17,17,1,42.0,42000,0,, 2-я Институтская,24,Ростокино
19,ID 54078160,homeowner,https://www.cian.ru/rent/flat/285096274/,Москва,rent,flat,1,5,1,31.9,70000,0,Ростокино,проспект Мира,200,Ростокино
20,ID 83959149,homeowner,https://korolev.cian.ru/rent/flat/267494360/,Москва,rent,flat,1,4,1,29.0,42000,0,,Полевая ,11к4,Ростокино
21,Андрей Самарцев,realtor,https://www.cian.ru/rent/flat/233262055/,Москва,rent,flat,4,17,1,38.0,55000,0,Ростокино,Будайский проезд,9,Ростокино
22,Дмитрий Корольков,realtor,https://mytishchi.cian.ru/rent/flat/307438041/,Москва,rent,flat,6,9,1,32.0,35000,0,, Терешковой,21к2,Медведково
23,Квартирный центр,real_estate_agent,https://mytishchi.cian.ru/rent/flat/296486871/,Москва,rent,flat,7,9,1,34.0,36000,0,,Олимпийский проспект,4,Медведково
24,ID 53724812,homeowner,https://korolev.cian.ru/rent/flat/307107137/,Москва,rent,flat,10,17,1,42.2,35000,0,, Академика Легостаева,8,Медведково
