,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,HOTEL GOOD,real_estate_agent,https://www.cian.ru/rent/flat/307726287/,Москва,rent,flat,3,5,2,55.0,95000,0,Савеловский,Полтавская ,35,Савёловская
1,HOTEL GOOD,real_estate_agent,https://www.cian.ru/rent/flat/307725588/,Москва,rent,flat,5,9,2,49.0,120000,0,Савеловский,Башиловская ,3К1,Савёловская
2,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307708138/,Москва,rent,flat,8,16,2,51.0,100000,0,Савеловский,Башиловская ,23К3,Савёловская
3,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307700613/,Москва,rent,flat,10,12,2,75.0,325000,0,Аэропорт,Ленинградский проспект,36с36,Савёловская
4,ID 56661392,unknown,https://www.cian.ru/rent/flat/307693053/,Москва,rent,flat,4,5,2,45.0,75000,0,Савеловский,Петровско-Разумовский проезд,8А,Савёловская
5,Валерий Никишкин,realtor,https://www.cian.ru/rent/flat/307686991/,Москва,rent,flat,2,7,2,39.2,90000,0,Савеловский,Писцовая ,15,Савёловская
6,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307677051/,Москва,rent,flat,10,12,2,44.0,65000,0,Савеловский, Мишина,4,Савёловская
7,Вячеслав Гордеев,realtor,https://www.cian.ru/rent/flat/307631791/,Москва,rent,flat,1,5,2,45.0,65000,0,Тверской,Угловой переулок,21,Савёловская
8,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307631686/,Москва,rent,flat,5,5,2,40.0,120000,0,Тверской,Новослободская ,67/69,Савёловская
9,Дипломат,real_estate_agent,https://www.cian.ru/rent/flat/307624534/,Москва,rent,flat,3,5,2,45.0,120000,0,Беговой, Новая Башиловка,6,Савёловская
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307577894/,Москва,rent,flat,5,7,2,40.0,120000,0,Тверской,Новослободская ,67/69,Савёловская
11,Сергей Зилотов,realtor,https://www.cian.ru/rent/flat/307564321/,Москва,rent,flat,1,5,2,45.0,65000,0,Савеловский, 1-я Бебеля,3,Савёловская
12,ID 90144863,realtor,https://www.cian.ru/rent/flat/307554382/,Москва,rent,flat,5,5,2,38.0,120000,0,Тверской,Новослободская ,67/69,Савёловская
13,ID 15697509,unknown,https://www.cian.ru/rent/flat/307550665/,Москва,rent,flat,4,5,2,45.0,77000,0,Беговой, Новая Башиловка,14,Савёловская
14,KeyPoint Realty,real_estate_agent,https://www.cian.ru/rent/flat/307550527/,Москва,rent,flat,3,9,2,44.0,90000,0,Савеловский, Нижняя Масловка,8,Савёловская
15,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307545361/,Москва,rent,flat,3,9,2,44.0,100000,0,Савеловский, Нижняя Масловка,8,Савёловская
16,ID 65978,realtor,https://www.cian.ru/rent/flat/307541798/,Москва,rent,flat,7,15,2,52.0,85000,0,Бутырский,Бутырская ,4,Савёловская
17,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307499093/,Москва,rent,flat,5,12,2,63.0,215000,0,Аэропорт,Ленинградский проспект,36с30,Савёловская
18,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307446991/,Москва,rent,flat,8,16,2,51.0,95000,0,Савеловский,Башиловская ,23К3,Савёловская
19,ID 102599827,homeowner,https://www.cian.ru/rent/flat/307346545/,Москва,rent,flat,2,9,2,57.0,130000,0,Савеловский,Полтавская ,4,Савёловская
20,ID 80380553,realtor,https://www.cian.ru/rent/flat/307340187/,Москва,rent,flat,10,12,2,72.0,325000,0,Аэропорт,Ленинградский проспект,36с36,Савёловская
21,ID 113731604,homeowner,https://www.cian.ru/rent/flat/307022703/,Москва,rent,flat,1,5,2,40.3,110000,0,Тверской,Угловой переулок,21,Савёловская
22,Ирина Осипова,realtor,https://www.cian.ru/rent/flat/306997002/,Москва,rent,flat,8,9,2,53.0,80000,0,Савеловский, Мишина,12,Савёловская
23,Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/306974311/,Москва,rent,flat,7,9,2,45.0,75000,0,Савеловский,4-й Вятский переулок,23,Савёловская
24,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306873522/,Москва,rent,flat,10,25,2,80.0,490000,0,Аэропорт,Ленинградский проспект,36с40,Савёловская
25,Евгения Москвина,realtor,https://www.cian.ru/rent/flat/306855708/,Москва,rent,flat,3,12,2,38.0,75000,0,Савеловский, Мишина,4,Савёловская
26,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306679176/,Москва,rent,flat,8,10,2,38.0,80000,0,Савеловский,Петровско-Разумовский проезд,5,Савёловская
27,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306400154/,Москва,rent,flat,8,16,2,51.0,95000,0,Савеловский,Башиловская ,23К3,Савёловская
