,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756591/,Москва,rent,flat,2,3,1,18.0,45000,0,Бескудниковский,Дмитровское шоссе,88к2,Селигерская
1,Ксения Матвеева,realtor,https://www.cian.ru/rent/flat/307746388/,Москва,rent,flat,16,16,1,38.0,45000,0,Бескудниковский,Коровинское шоссе,6К3,Селигерская
2,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307722571/,Москва,rent,flat,21,33,1,23.4,37800,0,Западное Дегунино,Базовская ,15Бк3,Селигерская
3,Градсити,real_estate_agent,https://www.cian.ru/rent/flat/307721880/,Москва,rent,flat,5,5,1,30.0,40000,0,Бескудниковский,Дмитровское шоссе,99К2,Селигерская
4,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307721300/,Москва,rent,flat,2,21,1,26.9,52600,0,Западное Дегунино,Базовская ,15Бк4,Селигерская
5,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307717456/,Москва,rent,flat,5,23,1,36.0,80000,0,Западное Дегунино,Ильменский проезд,14к3,Селигерская
6,ID 36888156,homeowner,https://www.cian.ru/rent/flat/307717454/,Москва,rent,flat,9,9,1,35.0,85000,0,Восточное Дегунино, 800-летия Москвы,3К2,Селигерская
7,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307717009/,Москва,rent,flat,19,23,1,33.3,73000,0,Западное Дегунино,Ильменский проезд,17к3,Селигерская
8,Chotky realty,real_estate_agent,https://www.cian.ru/rent/flat/307716992/,Москва,rent,flat,12,14,1,38.0,42000,0,Бескудниковский,Дмитровское шоссе,96К4,Селигерская
9,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307713699/,Москва,rent,flat,11,17,1,40.0,45000,0,Западное Дегунино, Ивана Сусанина,6К1,Селигерская
10,RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/307706527/,Москва,rent,flat,2,3,1,18.0,55000,0,Головинский,Солнечногорский проезд,17,Селигерская
11,Монолит Столица,real_estate_agent,https://www.cian.ru/rent/flat/307699503/,Москва,rent,flat,11,13,1,47.0,80000,0,Дмитровский,Дмитровское шоссе,107к4,Селигерская
12,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307683303/,Москва,rent,flat,7,13,1,42.2,110000,0,Западное Дегунино,Ильменский проезд,14к6,Селигерская
13,Ольга Добротворская,realtor,https://www.cian.ru/rent/flat/307680762/,Москва,rent,flat,10,17,1,38.0,55000,0,Западное Дегунино,Базовская ,12,Селигерская
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307671288/,Москва,rent,flat,12,13,1,38.0,60000,0,Дмитровский,Дмитровское шоссе,107Ак4,Селигерская
15,Горизонт,real_estate_agent,https://www.cian.ru/rent/flat/307666963/,Москва,rent,flat,12,14,1,38.0,60000,0,Дмитровский,Дмитровское шоссе,107Ак4,Селигерская
16,ID 9799222,realtor,https://www.cian.ru/rent/flat/307661967/,Москва,rent,flat,4,9,1,40.0,45000,0,Восточное Дегунино, 800-летия Москвы,7К1,Селигерская
17,Константин Добронравов,realtor,https://www.cian.ru/rent/flat/307661423/,Москва,rent,flat,13,33,1,32.0,65000,0,Западное Дегунино,Базовская ,15Бк3,Селигерская
18,Денис Каратун,realtor,https://www.cian.ru/rent/flat/307654433/,Москва,rent,flat,23,24,1,42.0,70000,0,Дмитровский,Дмитровское шоссе,107к3,Селигерская
19,ID 71507986,homeowner,https://www.cian.ru/rent/flat/307633738/,Москва,rent,flat,1,9,1,32.3,58000,0,Восточное Дегунино,Дубнинская ,20К2,Селигерская
20,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307631422/,Москва,rent,flat,1,9,1,40.0,58000,0,Восточное Дегунино,Дубнинская ,20К2,Селигерская
21,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307628451/,Москва,rent,flat,27,36,1,40.0,109000,0,Западное Дегунино,Ильменский проезд,14к1,Селигерская
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307614054/,Москва,rent,flat,1,3,1,26.0,65000,0,Головинский,Солнечногорский проезд,17,Селигерская
23,ID 21296,realtor,https://www.cian.ru/rent/flat/307602125/,Москва,rent,flat,11,17,1,38.0,60000,0,Бескудниковский,Селигерская ,12К2,Селигерская
24,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307591071/,Москва,rent,flat,22,39,1,54.0,105000,0,Западное Дегунино,Ильменский проезд,14к3,Селигерская
25,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307566683/,Москва,rent,flat,11,38,1,34.0,85000,0,Западное Дегунино,Ильменский проезд,14к8,Селигерская
26,Римма Гильманшина,realtor,https://www.cian.ru/rent/flat/307555152/,Москва,rent,flat,19,39,1,38.0,90000,0,Западное Дегунино,Ильменский проезд,14к8,Селигерская
27,Роман Иванов,realtor,https://www.cian.ru/rent/flat/307438512/,Москва,rent,flat,9,13,1,33.0,77000,0,Бескудниковский,Бескудниковский бульвар,3,Селигерская
28,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307368383/,Москва,rent,flat,6,20,1,36.0,73500,0,Западное Дегунино,Базовская ,15Бк4,Селигерская
29,ID 33414898,homeowner,https://www.cian.ru/rent/flat/307341242/,Москва,rent,flat,12,17,1,37.9,57000,0,Бескудниковский,Бескудниковский бульвар,21К2,Селигерская
30,Виктория Геннадьевна Иванова,realtor,https://www.cian.ru/rent/flat/307305964/,Москва,rent,flat,2,17,1,34.0,75000,0,Западное Дегунино,Ильменский проезд,17к2,Селигерская
31,ID 113337444,homeowner,https://www.cian.ru/rent/flat/307279357/,Москва,rent,flat,11,17,1,37.7,69000,0,Восточное Дегунино, 800-летия Москвы,26К1,Селигерская
