,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Марина Пескова,realtor,https://www.cian.ru/rent/flat/307724964/,Москва,rent,flat,2,8,2,63.0,95000,0,Замоскворечье,Валовая ,2-4/44С1,Серпуховская
1,Елена Видерская,realtor,https://www.cian.ru/rent/flat/307721075/,Москва,rent,flat,9,12,2,40.0,75000,0,Замоскворечье,5-й Монетчиковский переулок,13,Серпуховская
2,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307716638/,Москва,rent,flat,6,8,2,47.0,98000,0,Замоскворечье,Люсиновская ,48-50к10,Серпуховская
3,Динара Чайка,realtor,https://www.cian.ru/rent/flat/307686923/,Москва,rent,flat,1,10,2,56.0,80000,0,Даниловский,Павелецкая набережная,4,Серпуховская
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307658098/,Москва,rent,flat,2,10,2,50.0,95000,0,Даниловский,Люсиновская ,53,Серпуховская
5,Ирина Лисицина,realtor,https://www.cian.ru/rent/flat/307657150/,Москва,rent,flat,11,14,2,53.0,150000,0,Замоскворечье,Люсиновская ,12,Серпуховская
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307608078/,Москва,rent,flat,4,8,2,50.0,80000,0,Замоскворечье,Люсиновская ,48-50к10,Серпуховская
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606191/,Москва,rent,flat,6,8,2,47.0,95000,0,Замоскворечье,Люсиновская ,48-50к10,Серпуховская
8,ID 105835222,homeowner,https://www.cian.ru/rent/flat/307590133/,Москва,rent,flat,6,8,2,47.0,98000,0,Замоскворечье,Люсиновская ,48-50к10,Серпуховская
9,RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/307551758/,Москва,rent,flat,7,8,2,58.0,100000,0,Замоскворечье,Дубининская ,11С1,Серпуховская
10,Дмитрий Шлык,realtor,https://www.cian.ru/rent/flat/307509573/,Москва,rent,flat,6,48,2,60.0,170000,0,Даниловский,Дубининская ,59А,Серпуховская
11,Dream City,real_estate_agent,https://www.cian.ru/rent/flat/307495409/,Москва,rent,flat,7,14,2,42.0,126000,0,Замоскворечье, Павла Андреева,4,Серпуховская
12,CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/307481822/,Москва,rent,flat,7,14,2,42.0,126000,0,Замоскворечье, Павла Андреева,4,Серпуховская
13,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307481747/,Москва,rent,flat,7,8,2,56.0,100000,0,Замоскворечье,Дубининская ,11С1,Серпуховская
14,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307474956/,Москва,rent,flat,10,48,2,42.0,135000,0,Даниловский,Дубининская ,59А,Серпуховская
15,ID 52564885,homeowner,https://www.cian.ru/rent/flat/307473002/,Москва,rent,flat,10,48,2,39.1,135000,0,Даниловский,Дубининская ,59А,Серпуховская
16,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307453784/,Москва,rent,flat,2,7,2,60.0,230000,0,Замоскворечье,Шлюзовая набережная,2А,Серпуховская
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307435029/,Москва,rent,flat,2,7,2,61.0,230000,0,Замоскворечье,Шлюзовая набережная,2А,Серпуховская
18,Андрей царев,realtor,https://www.cian.ru/rent/flat/307427246/,Москва,rent,flat,6,12,2,52.2,90000,0,Замоскворечье,Большая Пионерская ,15С1,Серпуховская
19,Любовь Черемисина,realtor,https://www.cian.ru/rent/flat/307413398/,Москва,rent,flat,2,9,2,50.0,80000,0,Даниловский,Мытная ,62,Серпуховская
20,ID 12719386,homeowner,https://www.cian.ru/rent/flat/307412145/,Москва,rent,flat,4,8,2,44.0,80000,0,Замоскворечье,Люсиновская ,48-50к10,Серпуховская
21,ID 121850326,homeowner,https://www.cian.ru/rent/flat/307407001/,Москва,rent,flat,2,10,2,50.0,95000,0,Даниловский,Люсиновская ,53,Серпуховская
22,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307367489/,Москва,rent,flat,2,14,2,60.0,220000,0,Замоскворечье,Большой Строченовский переулок,9,Серпуховская
23,ID 121810868,homeowner,https://www.cian.ru/rent/flat/307364876/,Москва,rent,flat,2,14,2,56.0,225000,0,Замоскворечье,Большой Строченовский переулок,9,Серпуховская
24,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307364049/,Москва,rent,flat,22,46,2,58.0,200000,0,Даниловский,Дубининская ,59А,Серпуховская
25,Дмитрий Вологжанин,realtor,https://www.cian.ru/rent/flat/307362587/,Москва,rent,flat,9,14,2,56.0,110000,0,Замоскворечье, Зацепа,22,Серпуховская
26,Оксана Царимон,realtor,https://www.cian.ru/rent/flat/307250840/,Москва,rent,flat,2,10,2,50.0,160000,0,Замоскворечье,Стремянный переулок,2,Серпуховская
27,ID 21724323,homeowner,https://www.cian.ru/rent/flat/307227635/,Москва,rent,flat,7,8,2,56.0,100000,0,Замоскворечье,Дубининская ,11С1,Серпуховская
28,,,https://www.cian.ru/rent/flat/307147122/,Москва,rent,flat,2,7,2,60.0,230000,0,Замоскворечье,Шлюзовая набережная,2А,Серпуховская
29,,,https://www.cian.ru/rent/flat/307105046/,Москва,rent,flat,2,7,2,63.0,220000,0,Замоскворечье,Шлюзовая набережная,2А,Серпуховская
