,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 126880,realtor,https://odintsovo.cian.ru/rent/flat/307807747/,Москва,rent,flat,26,33,3,56.0,80000,0,Новоивановское рп,Можайское шоссе,55,
1,Наталья Шеле,realtor,https://www.cian.ru/rent/flat/307743576/,Москва,rent,flat,2,9,3,57.4,80000,0,Можайский,Барвихинская ,22,Сетунь
2,ID 139306,realtor,https://www.cian.ru/rent/flat/307675364/,Москва,rent,flat,5,12,3,67.5,90000,0,Можайский, Гришина,23К6,Сетунь
3,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307652133/,Москва,rent,flat,3,5,3,72.0,95000,0,Кунцево, Боженко,11к1,Сетунь
4,ID 103338640,homeowner,https://www.cian.ru/rent/flat/307592209/,Москва,rent,flat,10,10,3,73.1,95000,0,Можайский,Можайское шоссе,32,Сетунь
5,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307531596/,Москва,rent,flat,22,25,3,120.0,190000,0,Можайский,Можайское шоссе,36,Сетунь
6,My Hoyse,real_estate_agent,https://www.cian.ru/rent/flat/307530171/,Москва,rent,flat,22,28,3,120.0,190000,0,Можайский,Можайское шоссе,36,Сетунь
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307525517/,Москва,rent,flat,22,25,3,121.0,190000,0,Можайский,Можайское шоссе,36,Сетунь
8,Светлана Калинина,realtor,https://www.cian.ru/rent/flat/307499049/,Москва,rent,flat,2,9,3,63.0,75000,0,Можайский,Беловежская ,77,Сетунь
9,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307498922/,Москва,rent,flat,11,17,3,135.0,99000,0,Можайский, Толбухина,3К2,Сетунь
10,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/307342173/,Москва,rent,flat,6,9,3,60.0,70000,0,Можайский,Витебская ,8К2,Сетунь
11,Екатерина Лавринович,realtor,https://www.cian.ru/rent/flat/307040201/,Москва,rent,flat,4,11,3,85.0,170000,0,Можайский,Барвихинская ,6,Сетунь
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306970732/,Москва,rent,flat,8,11,3,128.0,100000,0,Можайский, Толбухина,3К2,Сетунь
13,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306955643/,Москва,rent,flat,9,16,3,135.0,100000,0,Можайский, Толбухина,3К2,Сетунь
14,ID 32373425,realtor,https://www.cian.ru/rent/flat/306803570/,Москва,rent,flat,2,9,3,53.4,65000,0,Можайский,Витебская ,12,Сетунь
15,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306772981/,Москва,rent,flat,6,16,3,74.0,79000,0,Можайский,Запорожская ,6,Сетунь
16,Манхэттен эстейт,real_estate_agent,https://odintsovo.cian.ru/rent/flat/306543436/,Москва,rent,flat,12,16,3,71.4,80000,0,Заречье рп,Заречная ,6А,
17,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/306322368/,Москва,rent,flat,1,16,3,55.0,66000,0,Можайский,Беловежская ,17,Сетунь
18,Даяна Хомина,realtor,https://odintsovo.cian.ru/rent/flat/306271089/,Москва,rent,flat,8,15,3,64.5,75000,0,Новоивановское рп,бульвар Эйнштейна,4,
19,ID 109346848,homeowner,https://odintsovo.cian.ru/rent/flat/304979276/,Москва,rent,flat,7,26,3,78.0,80000,0,Новоивановское рп,Можайское шоссе,50,
20,ПИК-Аренда,real_estate_agent,https://odintsovo.cian.ru/rent/flat/304396107/,Москва,rent,flat,3,25,3,93.1,88400,0,Новоивановское рп,Можайское шоссе,50,
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/303963616/,Москва,rent,flat,8,24,3,126.0,160000,0,Можайский, Толбухина,11К2,Сетунь
22,ID 33514275,homeowner,https://www.cian.ru/rent/flat/303653497/,Москва,rent,flat,8,24,3,126.1,160000,0,Можайский, Толбухина,11К2,Сетунь
23,Павел Гринько,realtor,https://www.cian.ru/rent/flat/301475306/,Москва,rent,flat,11,17,3,135.0,99000,0,Можайский, Толбухина,3К2,Сетунь
24,ID 60177055,homeowner,https://www.cian.ru/rent/flat/297443073/,Москва,rent,flat,4,5,3,80.0,90000,0,Можайский, Толбухина,5К2,Сетунь
25,Павел Гринько,realtor,https://www.cian.ru/rent/flat/272342104/,Москва,rent,flat,9,17,3,130.0,100000,0,Можайский, Толбухина,3К2,Сетунь
26,Кирилл Гринченко,realtor,https://odintsovo.cian.ru/rent/flat/266575770/,Москва,rent,flat,11,24,3,89.0,90000,0,Новоивановское рп,Можайское шоссе,50,
27,Раиса Макарова,realtor,https://odintsovo.cian.ru/rent/flat/255040551/,Москва,rent,flat,2,3,3,98.0,80000,0,,,,
28,Виктор Смолич,realtor,https://www.cian.ru/rent/flat/307636448/,Москва,rent,flat,4,14,4,110.0,140000,0,Крылатское,Осенняя ,2,Крылатское
29,ID 33191906,unknown,https://www.cian.ru/rent/flat/307701539/,Москва,rent,flat,4,5,3,58.6,80000,0,Филевский парк,Сеславинская ,38,Филёвский парк
30,Анна Тюрина,realtor,https://www.cian.ru/rent/flat/307672641/,Москва,rent,flat,10,24,3,51.0,120000,0,Очаково-Матвеевское,Очаковское шоссе,5к4,Давыдково
