,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 122201673,homeowner,https://odintsovo.cian.ru/rent/flat/307752598/,Москва,rent,flat,19,23,2,54.0,70000,0,, Сколковская,1Б,Сколково
1,Павел Достовалов,realtor,https://odintsovo.cian.ru/rent/flat/307721288/,Москва,rent,flat,9,9,2,52.1,40000,0,,,,
2,ID 22105,realtor,https://odintsovo.cian.ru/rent/flat/307721050/,Москва,rent,flat,22,25,2,87.0,100000,0,,Можайское шоссе,169,Сколково
3,Престиж,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307704803/,Москва,rent,flat,2,20,2,66.1,67000,0,, Кутузовская,23,Сколково
4,Этажи Москва,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307699797/,Москва,rent,flat,7,14,2,52.0,55000,0,,Сосновая ,30,Сколково
5,ID 13363203,realtor,https://odintsovo.cian.ru/rent/flat/307665431/,Москва,rent,flat,10,25,2,68.0,75000,0,, Сколковская,3В,Сколково
6,Дмитрий Ерохин,realtor,https://odintsovo.cian.ru/rent/flat/307664826/,Москва,rent,flat,5,9,2,48.0,60000,0,,Можайское шоссе,49,Сколково
7,ZIMENS недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307651642/,Москва,rent,flat,6,25,2,63.0,59000,0,, Кутузовская,74Б,Сколково
8,Гармония,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307649508/,Москва,rent,flat,4,26,2,64.0,65000,0,, Чистяковой,16,Сколково
9,КРИГЕР,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307647888/,Москва,rent,flat,6,20,2,75.6,60000,0,, Кутузовская,21,Сколково
10,ID 6943558,unknown,https://odintsovo.cian.ru/rent/flat/307629844/,Москва,rent,flat,17,17,2,64.0,60000,0,, Говорова,50,Сколково
11,Елена Гаспарян,realtor,https://odintsovo.cian.ru/rent/flat/307627682/,Москва,rent,flat,2,26,2,52.0,55000,0,, Сколковская,5А,Сколково
12,ID 26781824,homeowner,https://odintsovo.cian.ru/rent/flat/307625010/,Москва,rent,flat,3,24,2,40.0,85000,0,Новоивановское рп,бульвар Эйнштейна,5,
13,ID 88136306,homeowner,https://odintsovo.cian.ru/rent/flat/307616244/,Москва,rent,flat,21,22,2,46.0,60000,0,, Маковского,16,Сколково
14,My Hoyse,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307610308/,Москва,rent,flat,5,5,2,90.0,95000,0,с. Ромашково, Никольская,8к1,
15,Евгений Черняк,realtor,https://odintsovo.cian.ru/rent/flat/307609571/,Москва,rent,flat,11,24,2,55.6,40000,0,, Чистяковой,67,Сколково
16,Парус,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307590611/,Москва,rent,flat,21,25,2,61.0,65000,0,, Чистяковой,40,Сколково
17,Яндекс Аренда,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307578309/,Москва,rent,flat,2,6,2,54.0,67500,0,,,,
18,ID 168576,realtor,https://odintsovo.cian.ru/rent/flat/307547348/,Москва,rent,flat,15,19,2,74.0,70000,0,,Можайское шоссе,112а,Сколково
19,YU HOME,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307538372/,Москва,rent,flat,2,26,2,50.0,55000,0,, Сколковская,5А,Сколково
20,Надежда Филиппова,realtor,https://odintsovo.cian.ru/rent/flat/307514355/,Москва,rent,flat,15,24,2,62.0,65000,0,, Кутузовская,15,Сколково
21,Марина Захарченко,realtor,https://odintsovo.cian.ru/rent/flat/307508788/,Москва,rent,flat,20,28,2,74.0,95000,0,,Можайское шоссе,122,Сколково
22,ID 121917216,homeowner,https://odintsovo.cian.ru/rent/flat/307479055/,Москва,rent,flat,26,33,2,65.0,108000,0,Новоивановское рп,Можайское шоссе,54,
23,ID 13548750,homeowner,https://odintsovo.cian.ru/rent/flat/307460236/,Москва,rent,flat,3,6,2,55.0,72000,0,,,,
24,Room Tour,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307450814/,Москва,rent,flat,19,24,2,71.2,80000,0,, Маковского,20,Сколково
25,ID 120899636,homeowner,https://odintsovo.cian.ru/rent/flat/307423388/,Москва,rent,flat,23,24,2,76.0,82000,0,,Можайское шоссе,100А,Сколково
26,ID 217850,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307381506/,Москва,rent,flat,28,33,2,46.0,70000,0,Новоивановское рп,Можайское шоссе,55,
27,Оксана Волошина,realtor,https://odintsovo.cian.ru/rent/flat/307360869/,Москва,rent,flat,19,20,2,58.0,55000,0,, Чистяковой,68,Сколково
