,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/rent/flat/307742200/,Москва,rent,flat,5,14,2,71.1,130000,0,Фили-Давыдково,Кастанаевская ,41К2,Славянский бульвар
1,ID 10220950,realtor,https://www.cian.ru/rent/flat/307742031/,Москва,rent,flat,5,5,2,43.0,56000,0,Фили-Давыдково, Герасима Курина,8К4,Славянский бульвар
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307723015/,Москва,rent,flat,14,25,2,64.0,100000,0,Фили-Давыдково, Герасима Курина,22,Славянский бульвар
3,Юлия Соколова,realtor,https://www.cian.ru/rent/flat/307712559/,Москва,rent,flat,8,20,2,60.0,90000,0,Фили-Давыдково,Давыдковская ,10К1,Славянский бульвар
4,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307676782/,Москва,rent,flat,6,18,2,60.0,110000,0,Фили-Давыдково,Давыдковская ,10,Славянский бульвар
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307669536/,Москва,rent,flat,4,5,2,43.0,65000,0,Фили-Давыдково,Малая Филевская ,8К2,Славянский бульвар
6,Квадраты Москвы,real_estate_agent,https://www.cian.ru/rent/flat/307669243/,Москва,rent,flat,6,18,2,60.0,110000,0,Фили-Давыдково,Давыдковская ,10,Славянский бульвар
7,Галина Иванова,realtor,https://www.cian.ru/rent/flat/307652578/,Москва,rent,flat,7,16,2,60.0,85000,0,Фили-Давыдково,Кастанаевская ,53,Славянский бульвар
8,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/307643476/,Москва,rent,flat,24,28,2,56.8,130000,0,Фили-Давыдково,Славянский бульвар,9к6,Славянский бульвар
9,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307633367/,Москва,rent,flat,11,19,2,65.0,78000,0,Фили-Давыдково,Малая Филевская ,22,Славянский бульвар
10,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307539647/,Москва,rent,flat,4,5,2,45.0,67000,0,Фили-Давыдково,Малая Филевская ,8К2,Славянский бульвар
11,ID 61572460,homeowner,https://www.cian.ru/rent/flat/307521310/,Москва,rent,flat,16,18,2,61.5,120000,0,Фили-Давыдково,Давыдковская ,10К1,Славянский бульвар
12,ID 11021399,realtor,https://www.cian.ru/rent/flat/307391375/,Москва,rent,flat,3,5,2,43.6,60000,0,Фили-Давыдково,Большая Филевская ,41К4,Славянский бульвар
13,VIСTORY GROUP,real_estate_agent,https://www.cian.ru/rent/flat/307343297/,Москва,rent,flat,2,25,2,60.1,195000,0,Очаково-Матвеевское,Нежинская ,3А,Славянский бульвар
14,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307336960/,Москва,rent,flat,15,26,2,45.0,160000,0,Очаково-Матвеевское,Нежинская ,5к2,Славянский бульвар
