,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Татьяна Федюнина,realtor,https://www.cian.ru/rent/flat/307728408/,Москва,rent,flat,4,5,2,50.0,120000,0,Хамовники,Кропоткинский переулок,9-11,Смоленская
1,Елена Маранова,realtor,https://www.cian.ru/rent/flat/307716655/,Москва,rent,flat,3,8,2,54.0,120000,0,Арбат,Большой Николопесковский переулок,12,Смоленская
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307713668/,Москва,rent,flat,2,11,2,65.0,125000,0,Дорогомилово,Кутузовский проспект,4/2,Смоленская
3,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307701562/,Москва,rent,flat,8,9,2,64.0,120000,0,Дорогомилово,Кутузовский проспект,8,Смоленская
4,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307701561/,Москва,rent,flat,3,6,2,60.0,160000,0,Арбат,Большой Николопесковский переулок,3,Смоленская
5,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307676545/,Москва,rent,flat,5,8,2,44.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Смоленская
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307661199/,Москва,rent,flat,2,7,2,55.0,95000,0,Хамовники,Смоленский бульвар,7,Смоленская
7,ID 53381519,homeowner,https://www.cian.ru/rent/flat/307661158/,Москва,rent,flat,5,12,2,50.0,139000,0,Дорогомилово,Украинский бульвар,6,Смоленская
8,SPENСER ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307646459/,Москва,rent,flat,5,12,2,54.0,100000,0,Дорогомилово,Кутузовский проспект,4/2,Смоленская
9,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307635696/,Москва,rent,flat,3,6,2,60.0,160000,0,Арбат,Большой Николопесковский переулок,3,Смоленская
10,ID 20606879,realtor,https://www.cian.ru/rent/flat/307609475/,Москва,rent,flat,4,10,2,45.0,120000,0,Арбат,1-й Смоленский переулок,24,Смоленская
11,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307594411/,Москва,rent,flat,5,9,2,40.0,130000,0,Арбат,переулок Калошин,6С1,Смоленская
12,Роман Пятин,realtor,https://www.cian.ru/rent/flat/307591968/,Москва,rent,flat,12,24,2,53.9,140000,0,Арбат, Новый Арбат,26,Смоленская
13,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Смоленская
14,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307480940/,Москва,rent,flat,6,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Смоленская
15,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,Москва,rent,flat,4,8,2,46.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Смоленская
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307442341/,Москва,rent,flat,6,21,2,55.0,200000,0,Пресненский,Кудринская площадь,1,Смоленская
17,Надежда Карпенкова,realtor,https://www.cian.ru/rent/flat/307412052/,Москва,rent,flat,2,7,2,55.0,165000,0,Хамовники,Смоленская-Сенная площадь,27С1,Смоленская
18,ID 762067,realtor,https://www.cian.ru/rent/flat/307383076/,Москва,rent,flat,4,9,2,44.0,120000,0,Арбат,переулок Калошин,6С1,Смоленская
19,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307322751/,Москва,rent,flat,6,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Смоленская
20,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307312167/,Москва,rent,flat,6,31,2,55.0,200000,0,Пресненский,Кудринская площадь,1,Смоленская
21,ID 85832026,realtor,https://www.cian.ru/rent/flat/307249295/,Москва,rent,flat,3,16,2,106.0,500000,0,Хамовники,переулок 1-й Тружеников,16,Смоленская
22,ЛАРТ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307215484/,Москва,rent,flat,6,12,2,38.2,120000,0,Арбат,Староконюшенный переулок,30,Смоленская
23,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307149921/,Москва,rent,flat,10,18,2,133.0,550000,0,Арбат, Новый Арбат,32,Смоленская
24,ID 16716291,realtor,https://www.cian.ru/rent/flat/307109276/,Москва,rent,flat,2,9,2,56.0,139900,0,Дорогомилово,Кутузовский проспект,5/3,Смоленская
25,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307097455/,Москва,rent,flat,3,6,2,60.0,160000,0,Арбат,Большой Николопесковский переулок,3,Смоленская
26,Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307094176/,Москва,rent,flat,6,7,2,70.0,250000,0,Арбат,Большой Николопесковский переулок,6,Смоленская
27,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307080492/,Москва,rent,flat,10,13,2,127.0,550000,0,Арбат, Новый Арбат,32,Смоленская
28,Аделина Спаева,realtor,https://www.cian.ru/rent/flat/265531042/,Москва,rent,flat,3,5,2,45.0,95000,0,Хамовники,Кропоткинский переулок,20С1,Смоленская
29,NSGroup,real_estate_agent,https://www.cian.ru/rent/flat/244200663/,Москва,rent,flat,3,8,2,120.0,290000,0,Арбат,Староконюшенный переулок,45,Смоленская
30,ID 21255,realtor,https://www.cian.ru/rent/flat/223328153/,Москва,rent,flat,6,7,2,44.0,120000,0,Хамовники,Смоленский бульвар,7,Смоленская
31,Ирина Смолякова,realtor,https://www.cian.ru/rent/flat/216860890/,Москва,rent,flat,4,5,2,43.0,120000,0,Дорогомилово,Бережковская набережная,10,Смоленская
32,Selenahome,real_estate_agent,https://www.cian.ru/rent/flat/168743812/,Москва,rent,flat,6,7,2,100.0,290000,0,Арбат,Кривоарбатский переулок,16/22,Смоленская
33,Михаил Иванов,realtor,https://www.cian.ru/rent/flat/307586651/,Москва,rent,flat,2,7,3,75.9,95000,0,Хамовники,переулок Сивцев Вражек,21,Смоленская
