,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Александр Градобоев,realtor,https://www.cian.ru/rent/flat/307665675/,Москва,rent,flat,8,14,1,40.0,59000,0,Соколиная гора, 10-я Соколиной Горы,6к1,Соколиная гора
1,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307428761/,Москва,rent,flat,16,25,1,36.0,55000,0,Соколиная гора,Вольная ,28/4к1,Соколиная гора
2,ID 59262903,realtor,https://www.cian.ru/rent/flat/305904331/,Москва,rent,flat,22,23,1,39.0,75000,0,Соколиная гора,проспект Буденного,51к5,Соколиная гора
3,ID 3182,realtor,https://www.cian.ru/rent/flat/287693989/,Москва,rent,flat,6,9,1,27.0,50000,0,Соколиная гора, 9-я Соколиной Горы,3,Соколиная гора
4,ID 97586780,homeowner,https://www.cian.ru/rent/flat/281206722/,Москва,rent,flat,2,16,1,40.0,70000,0,Соколиная гора, Бориса Жигуленкова,7,Соколиная гора
5,ID 12586229,homeowner,https://www.cian.ru/rent/flat/268197091/,Москва,rent,flat,2,39,1,30.0,55000,0,Гольяново,Амурская ,1Ак5,Черкизовская
6,ID 108449429,homeowner,https://www.cian.ru/rent/flat/307585718/,Москва,rent,flat,4,5,1,32.0,50000,0,Преображенское,Суворовская ,24,Преображенская площадь
7,ID 98790866,homeowner,https://www.cian.ru/rent/flat/307283268/,Москва,rent,flat,1,5,1,30.0,60000,0,Богородское,Ивантеевская ,30К2,
8,ID 121569771,homeowner,https://www.cian.ru/rent/flat/307094467/,Москва,rent,flat,7,14,2,30.0,60000,0,Преображенское,Халтуринская ,2,Преображенская площадь
9,ID 583323,realtor,https://www.cian.ru/rent/flat/307509773/,Москва,rent,flat,5,5,2,44.2,50000,0,Соколиная гора,проспект Буденного,20К1,Соколиная гора
10,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/250969698/,Москва,rent,flat,5,8,1,38.0,65000,0,Преображенское,Большая Черкизовская ,4К1,Преображенская площадь
11,ID 76442518,unknown,https://www.cian.ru/rent/flat/279449684/,Москва,rent,flat,6,14,2,47.0,70000,0,Преображенское,Халтуринская ,4К2,Преображенская площадь
12,Александр Насилевский,realtor,https://www.cian.ru/rent/flat/307099137/,Москва,rent,flat,7,9,1,33.0,65000,0,Басманный,Большая Почтовая ,1/33,Бауманская
13,ID 64194,unknown,https://www.cian.ru/rent/flat/306112646/,Москва,rent,flat,5,9,1,33.0,55000,0,Басманный,Новорязанская ,32,Комсомольская
14,ID 27796,realtor,https://www.cian.ru/rent/flat/307673943/,Москва,rent,flat,3,5,1,46.0,50000,0,Измайлово,Первомайская ,35/18,Измайловская
15,ID 18563651,homeowner,https://www.cian.ru/rent/flat/285711206/,Москва,rent,flat,5,5,1,34.0,57000,0,Северное Измайлово,5-я Парковая ,47К3,Щёлковская
16,Юрий Ким,realtor,https://www.cian.ru/rent/flat/307371169/,Москва,rent,flat,12,25,1,37.0,55000,0,Гольяново,Амурская ,1Ак4,Черкизовская
17,BARSANDKEY,real_estate_agent,https://www.cian.ru/rent/flat/307442846/,Москва,rent,flat,13,16,1,38.0,48000,0,Преображенское, Преображенский Вал,26,Преображенская площадь
18,ID 22556,realtor,https://www.cian.ru/rent/flat/307654449/,Москва,rent,flat,3,5,1,34.0,45000,0,Измайлово,9-я Парковая ,54К2,Щёлковская
19,ID 19752,realtor,https://www.cian.ru/rent/flat/307591193/,Москва,rent,flat,7,14,1,37.0,59000,0,Северное Измайлово,3-я Парковая ,63,Щёлковская
20,Павел Пинек,realtor,https://www.cian.ru/rent/flat/307448334/,Москва,rent,flat,13,26,2,60.0,85000,0,Соколиная гора,Вольная ,28/4к2,Соколиная гора
21,Центр Недвижимости плюс,real_estate_agent,https://www.cian.ru/rent/flat/307572659/,Москва,rent,flat,3,6,1,30.0,50000,0,Преображенское, Преображенский Вал,24К6,Преображенская площадь
22,ID 3134638,realtor,https://www.cian.ru/rent/flat/307574527/,Москва,rent,flat,4,5,2,55.0,55000,0,Измайлово,Измайловская площадь,4,Измайловская
23,ОГРК,real_estate_agent,https://www.cian.ru/rent/flat/307400740/,Москва,rent,flat,2,9,1,33.0,50000,0,Богородское,Краснобогатырская ,75К1,Преображенская площадь
24,Сергей Давыдов,realtor,https://www.cian.ru/rent/flat/306579063/,Москва,rent,flat,5,5,1,37.0,64990,0,Сокольники, 4-я Сокольническая,2,Сокольники
