,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 71286051,homeowner,https://www.cian.ru/rent/flat/294139782/,Москва,rent,flat,7,9,2,48.0,125000,0,Сокольники, Короленко,1К3,Сокольники
1,Шираз Чнаваян,realtor,https://www.cian.ru/rent/flat/293030129/,Москва,rent,flat,5,12,2,50.0,80000,0,Сокольники,Русаковская ,22,Сокольники
2,ID 13346423,homeowner,https://www.cian.ru/rent/flat/278680309/,Москва,rent,flat,5,5,2,44.0,70000,0,Красносельский,Русаковская ,12К3,Сокольники
3,ID 26846928,homeowner,https://www.cian.ru/rent/flat/259326862/,Москва,rent,flat,5,14,2,50.0,85000,0,Сокольники,Русаковская ,22,Сокольники
4,ID 11630609,homeowner,https://www.cian.ru/rent/flat/299551839/,Москва,rent,flat,1,5,1,31.0,70000,0,Марьина роща, Сущевский Вал,67,Марьина Роща
5,Золотой Ключ,real_estate_agent,https://www.cian.ru/rent/flat/307638437/,Москва,rent,flat,4,5,2,46.0,70000,0,Преображенское,Большая Черкизовская ,9К5,Преображенская площадь
6,ID 121569771,homeowner,https://www.cian.ru/rent/flat/307094467/,Москва,rent,flat,7,14,2,30.0,60000,0,Преображенское,Халтуринская ,2,Преображенская площадь
7,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/250969698/,Москва,rent,flat,5,8,1,38.0,65000,0,Преображенское,Большая Черкизовская ,4К1,Преображенская площадь
8,ID 76442518,unknown,https://www.cian.ru/rent/flat/279449684/,Москва,rent,flat,6,14,2,47.0,70000,0,Преображенское,Халтуринская ,4К2,Преображенская площадь
9,КОНСИНГО,real_estate_agent,https://www.cian.ru/rent/flat/307539344/,Москва,rent,flat,5,9,2,45.0,60000,0,Преображенское,2-я Пугачевская ,10К1,Преображенская площадь
10,Светлана Захарова,realtor,https://www.cian.ru/rent/flat/307275521/,Москва,rent,flat,8,9,2,50.0,89000,0,Сокольники,Старослободская ,16/17,Сокольники
11,ID 74338273,unknown,https://www.cian.ru/rent/flat/307544373/,Москва,rent,flat,5,16,2,54.0,75000,0,Сокольники,Сокольническая площадь,9,Сокольники
12,ID 122006073,homeowner,https://www.cian.ru/rent/flat/307572528/,Москва,rent,flat,11,12,2,38.0,89000,0,Алексеевский,Ярославская ,4К1,ВДНХ
13,ID 61405844,homeowner,https://www.cian.ru/rent/flat/307471937/,Москва,rent,flat,5,14,2,56.0,95000,0,Марьина роща,Октябрьская ,37,Марьина Роща
14,ID 103757520,homeowner,https://www.cian.ru/rent/flat/302571453/,Москва,rent,flat,2,33,3,47.0,80000,0,Гольяново,Амурская ,2Ак2,Черкизовская
15,Павел Пинек,realtor,https://www.cian.ru/rent/flat/307448334/,Москва,rent,flat,13,26,2,60.0,85000,0,Соколиная гора,Вольная ,28/4к2,Соколиная гора
16,ID 79203211,unknown,https://www.cian.ru/rent/flat/307628946/,Москва,rent,flat,6,10,2,52.0,100000,0,Басманный,Нижняя Красносельская ,35С50,Бауманская
17,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/306220289/,Москва,rent,flat,9,12,2,55.0,70000,0,Сокольники,Егерская ,5К1,Сокольники
18,Сергей Давыдов,realtor,https://www.cian.ru/rent/flat/306579063/,Москва,rent,flat,5,5,1,37.0,64990,0,Сокольники, 4-я Сокольническая,2,Сокольники
19,Сергей Гризодуб,realtor,https://www.cian.ru/rent/flat/307506381/,Москва,rent,flat,9,16,2,56.0,100000,0,Красносельский,Большая Спасская ,27,Площадь трёх вокзалов
20,ID 16515076,realtor,https://www.cian.ru/rent/flat/307430455/,Москва,rent,flat,2,9,1,31.4,70000,0,Красносельский,Верхняя Красносельская ,22,Красносельская
21,Денис Феофанов,realtor,https://www.cian.ru/rent/flat/307590245/,Москва,rent,flat,12,12,2,52.8,75000,0,Сокольники,3-я Рыбинская ,21К3,Сокольники
22,РОДНЫЕ СТЕНЫ,real_estate_agent,https://www.cian.ru/rent/flat/306417887/,Москва,rent,flat,5,9,2,58.0,85000,0,Басманный,Спартаковская площадь,1/2,Бауманская
23,ID 53210877,homeowner,https://www.cian.ru/rent/flat/307233584/,Москва,rent,flat,5,5,2,43.0,70000,0,Соколиная гора,Семеновский переулок,18,Семёновская
24,ID 72629792,unknown,https://www.cian.ru/rent/flat/307220063/,Москва,rent,flat,4,4,2,24.0,72000,0,Останкинский,проезд Ольминского,7,Алексеевская
