,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 113490961,homeowner,https://www.cian.ru/rent/flat/307748809/,Москва,rent,flat,5,11,1,42.0,75000,0,,,1,Спартак
1,Александр Глухов,realtor,https://www.cian.ru/rent/flat/307722737/,Москва,rent,flat,2,19,1,43.0,90000,0,Покровское-Стрешнево,Волоколамское шоссе,71к1,Спартак
2,Юлия Аллегрова,realtor,https://www.cian.ru/rent/flat/307682797/,Москва,rent,flat,12,18,1,46.0,75000,0,Южное Тушино,Лодочная ,11,Спартак
3,ID 52443511,realtor,https://www.cian.ru/rent/flat/307671403/,Москва,rent,flat,18,22,1,40.0,95000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Спартак
4,ПРАКТИК,real_estate_agent,https://www.cian.ru/rent/flat/307664721/,Москва,rent,flat,8,12,1,39.0,45000,0,Покровское-Стрешнево, Большая Набережная,5,Спартак
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307630523/,Москва,rent,flat,16,19,1,40.0,79500,0,Покровское-Стрешнево,Волоколамское шоссе,71к1,Спартак
6,ID 26390354,homeowner,https://www.cian.ru/rent/flat/307617764/,Москва,rent,flat,2,21,1,44.0,95000,0,Покровское-Стрешнево,Волоколамское шоссе,71/8к1,Спартак
7,ID 468641,homeowner,https://www.cian.ru/rent/flat/307616169/,Москва,rent,flat,5,9,1,40.0,85000,0,,,1,Спартак
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307613848/,Москва,rent,flat,17,26,1,59.0,200000,0,Покровское-Стрешнево,бульвар Небесный,1к1,Спартак
9,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307610216/,Москва,rent,flat,3,5,1,30.0,70000,0,Южное Тушино,Лодочная ,25С1,Спартак
10,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307586964/,Москва,rent,flat,2,5,1,35.6,60000,0,Покровское-Стрешнево, Большая Набережная,1к1,Спартак
11,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307496098/,Москва,rent,flat,8,12,1,35.0,55000,0,Южное Тушино,Лодочная ,33С2,Спартак
12,Dream Realty,real_estate_agent,https://www.cian.ru/rent/flat/307482364/,Москва,rent,flat,20,26,1,41.3,100000,0,Покровское-Стрешнево,бульвар Небесный,1к1,Спартак
13,ID 121892959,homeowner,https://www.cian.ru/rent/flat/307458453/,Москва,rent,flat,17,26,1,59.0,200000,0,Покровское-Стрешнево,бульвар Небесный,1к1,Спартак
14,Андрей Филиппов,realtor,https://www.cian.ru/rent/flat/307288139/,Москва,rent,flat,2,13,1,38.0,78000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к2,Спартак
15,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307277411/,Москва,rent,flat,1,3,1,22.0,55000,0,Покровское-Стрешнево,Волоколамское шоссе,вл116,Спартак
16,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307268420/,Москва,rent,flat,9,13,1,20.0,75000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к2,Спартак
17,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307183314/,Москва,rent,flat,10,14,1,48.0,55000,0,Покровское-Стрешнево,проезд Стратонавтов,14К1,Спартак
18,Алексей Фильчук,realtor,https://www.cian.ru/rent/flat/307060059/,Москва,rent,flat,7,20,1,44.0,68000,0,Покровское-Стрешнево, Циолковского,7,Спартак
19,ID 12378243,homeowner,https://www.cian.ru/rent/flat/306774135/,Москва,rent,flat,6,22,1,42.0,25500,0,Покровское-Стрешнево,бульвар Чкаловский,6,Спартак
