,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307742065/,Москва,rent,flat,8,8,2,65.0,180000,0,Хамовники, Хамовнический Вал,4,Спортивная
1,Елеанна Горбунова,realtor,https://www.cian.ru/rent/flat/307686803/,Москва,rent,flat,8,14,2,48.0,130000,0,Хамовники,Большая Пироговская ,29,Спортивная
2,Шамиль Хайруллин,realtor,https://www.cian.ru/rent/flat/307613161/,Москва,rent,flat,5,10,2,75.0,200000,0,Хамовники,3-я Фрунзенская ,9,Спортивная
3,Татьяна Антонова,realtor,https://www.cian.ru/rent/flat/307610630/,Москва,rent,flat,2,12,2,96.0,220000,0,Хамовники,Несвижский переулок,14,Спортивная
4,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/307549467/,Москва,rent,flat,2,8,2,86.0,290000,0,Хамовники, Хамовнический Вал,38,Спортивная
5,ID 429461,homeowner,https://www.cian.ru/rent/flat/307454189/,Москва,rent,flat,1,15,2,69.9,200000,0,Хамовники,Фрунзенская набережная,24,Спортивная
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307436387/,Москва,rent,flat,5,10,2,45.0,150000,0,Хамовники,Фрунзенская набережная,50,Спортивная
7,ID 18707,realtor,https://www.cian.ru/rent/flat/307236441/,Москва,rent,flat,6,8,2,45.0,97000,0,Хамовники,Комсомольский проспект,30,Спортивная
8,ID 102583537,realtor,https://www.cian.ru/rent/flat/306966234/,Москва,rent,flat,2,16,2,59.3,120000,0,Хамовники,Фрунзенская набережная,50,Спортивная
9,Олег Кочнев,realtor,https://www.cian.ru/rent/flat/306897340/,Москва,rent,flat,3,12,2,53.0,145000,0,Хамовники,Большая Пироговская ,53-55,Спортивная
10,Елена Андреева,realtor,https://www.cian.ru/rent/flat/306681925/,Москва,rent,flat,4,8,2,81.0,350000,0,Хамовники, Хамовнический Вал,36,Спортивная
11,Екатерина Кулинич,realtor,https://www.cian.ru/rent/flat/306108688/,Москва,rent,flat,4,8,2,79.0,150000,0,Хамовники, Хамовнический Вал,14,Спортивная
12,ID 276063,homeowner,https://www.cian.ru/rent/flat/304902853/,Москва,rent,flat,5,5,2,50.0,120000,0,Хамовники,Малая Пироговская ,6/4к1,Спортивная
13,Moscow Estate,real_estate_agent,https://www.cian.ru/rent/flat/303930916/,Москва,rent,flat,8,15,2,98.0,370000,0,Хамовники,Малая Пироговская ,8,Спортивная
14,Елена Новикова,realtor,https://www.cian.ru/rent/flat/301087762/,Москва,rent,flat,3,9,2,45.0,90000,0,Хамовники,1-я Фрунзенская ,6,Спортивная
15,Михаил Ивано,realtor,https://www.cian.ru/rent/flat/298231394/,Москва,rent,flat,8,12,2,70.0,155000,0,Хамовники,3-я Фрунзенская ,1,Спортивная
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/297080429/,Москва,rent,flat,4,5,2,60.0,130000,0,Хамовники, Усачева,29К8,Спортивная
17,ID 83364698,homeowner,https://www.cian.ru/rent/flat/296953691/,Москва,rent,flat,4,5,2,60.0,130000,0,Хамовники, Усачева,29К8,Спортивная
18,ID 44635371,homeowner,https://www.cian.ru/rent/flat/293542836/,Москва,rent,flat,3,8,2,57.0,140000,0,Хамовники, Хамовнический Вал,28,Спортивная
19,Анастасия Иванова,realtor,https://www.cian.ru/rent/flat/291479751/,Москва,rent,flat,8,8,2,60.0,130000,0,Хамовники,3-я Фрунзенская ,12,Спортивная
20,ID 28822716,homeowner,https://www.cian.ru/rent/flat/287545831/,Москва,rent,flat,8,8,2,54.0,120000,0,Хамовники, Хамовнический Вал,14,Спортивная
21,ID 154585,unknown,https://www.cian.ru/rent/flat/274916135/,Москва,rent,flat,8,8,2,53.0,150000,0,Хамовники, Хамовнический Вал,28,Спортивная
22,ID 451686,realtor,https://www.cian.ru/rent/flat/211724842/,Москва,rent,flat,5,10,2,45.0,150000,0,Хамовники,Фрунзенская набережная,50,Спортивная
23,ID 124603,realtor,https://www.cian.ru/rent/flat/195977961/,Москва,rent,flat,4,8,2,44.0,100000,0,Хамовники,3-я Фрунзенская ,13,Спортивная
24,Андрей Вокин,realtor,https://www.cian.ru/rent/flat/307647164/,Москва,rent,flat,7,8,1,35.0,65000,0,Хамовники,Новодевичий проезд,4,Спортивная
