,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307775753/,Москва,rent,flat,4,14,1,35.0,50000,0,Войковский, Клары Цеткин,11К1,Стрешнево
1,ID 13379626,homeowner,https://www.cian.ru/rent/flat/307772783/,Москва,rent,flat,4,14,1,34.6,50000,0,Войковский, Клары Цеткин,11К1,Стрешнево
2,МГСН,real_estate_agent,https://www.cian.ru/rent/flat/307752138/,Москва,rent,flat,5,5,1,30.0,46000,0,Войковский, Зои и Александра Космодемьянских,9к2,Стрешнево
3,ID 7782,realtor,https://www.cian.ru/rent/flat/307730280/,Москва,rent,flat,10,14,1,37.0,55000,0,Покровское-Стрешнево,Волоколамское шоссе,56К1,Стрешнево
4,ID 89975319,homeowner,https://www.cian.ru/rent/flat/307723116/,Москва,rent,flat,12,13,1,40.0,90000,0,Войковский,Ленинградское шоссе,13К1,Стрешнево
5,Наталия Хлесткова,realtor,https://www.cian.ru/rent/flat/307714811/,Москва,rent,flat,4,17,1,36.3,65000,0,Покровское-Стрешнево,Волоколамское шоссе,41к1,Стрешнево
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307583472/,Москва,rent,flat,4,5,1,37.0,50000,0,Войковский, Зои и Александра Космодемьянских,24А,Стрешнево
7,Александр Таубес,realtor,https://www.cian.ru/rent/flat/307437518/,Москва,rent,flat,13,19,1,46.0,80000,0,Войковский,5-й Войковский проезд,16к2,Стрешнево
8,СМАРЕНТ,real_estate_agent,https://www.cian.ru/rent/flat/307402334/,Москва,rent,flat,6,6,1,57.0,109900,0,Войковский,Старопетровский проезд,1с1,Стрешнево
9,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307386325/,Москва,rent,flat,4,9,1,42.0,50000,0,Войковский, Клары Цеткин,17,Стрешнево
10,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307335561/,Москва,rent,flat,16,22,1,50.0,125000,0,Щукино,Щукинская ,2,Стрешнево
11,ID 14615,realtor,https://www.cian.ru/rent/flat/307327710/,Москва,rent,flat,3,12,1,36.0,70000,0,Войковский, Космонавта Волкова,11,Стрешнево
12,ID 114138109,unknown,https://www.cian.ru/rent/flat/307244995/,Москва,rent,flat,12,22,1,36.4,130000,0,Щукино,Большой Волоколамский проезд,23,Стрешнево
13,ID 93065670,homeowner,https://www.cian.ru/rent/flat/306286953/,Москва,rent,flat,12,12,1,35.0,65000,0,Войковский, Космонавта Волкова,11,Стрешнево
14,ID 7324073,homeowner,https://www.cian.ru/rent/flat/306107999/,Москва,rent,flat,16,22,1,50.9,125000,0,Щукино,Щукинская ,2,Стрешнево
15,ID 221421,realtor,https://www.cian.ru/rent/flat/293591835/,Москва,rent,flat,20,28,1,26.0,75000,0,Щукино,Волоколамское шоссе,24к2,Стрешнево
16,Алла Котоман,realtor,https://www.cian.ru/rent/flat/292628083/,Москва,rent,flat,8,25,1,37.0,70000,0,Щукино,Волоколамское шоссе,24к1,Стрешнево
17,ID 10955341,unknown,https://www.cian.ru/rent/flat/277064229/,Москва,rent,flat,11,14,1,39.0,77000,0,Войковский,1-я Радиаторская ,1,Стрешнево
18,Александра Мирошниченко,realtor,https://www.cian.ru/rent/flat/305944367/,Москва,rent,flat,9,14,1,20.0,60000,0,Сокол,Балтийская ,15,Сокол
19,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/304860154/,Москва,rent,flat,7,8,1,34.0,67000,0,Хорошевский, Куусинена,17к1,Зорге
20,Михаил Акуленко,realtor,https://www.cian.ru/rent/flat/290723730/,Москва,rent,flat,9,17,2,58.7,55000,0,Левобережный,Ленинградское шоссе,128,Беломорская
21,ID 53162893,realtor,https://www.cian.ru/rent/flat/298115980/,Москва,rent,flat,8,16,1,35.0,50000,0,Коптево,Михалковская ,26К2,Коптево
22,Real Market Estate,real_estate_agent,https://www.cian.ru/rent/flat/307304334/,Москва,rent,flat,4,12,1,38.0,42000,0,Левобережный,Прибрежный проезд,7,Ховрино
23,ID 45096473,realtor,https://www.cian.ru/rent/flat/276052228/,Москва,rent,flat,10,14,1,40.0,48000,0,Коптево,Новопетровская ,14,Красный Балтиец
24,Анна Ларина,realtor,https://www.cian.ru/rent/flat/307667860/,Москва,rent,flat,5,9,1,30.8,55000,0,Головинский,Флотская ,46,Водный стадион
