,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,i-deal,real_estate_agent,https://www.cian.ru/rent/flat/307753197/,Москва,rent,flat,3,8,3,77.0,140000,0,Дорогомилово, Можайский Вал,6,Студенческая
1,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307715893/,Москва,rent,flat,3,7,3,90.0,200000,0,Дорогомилово,Кутузовский проспект,26К2,Студенческая
2,SKY REALTY,real_estate_agent,https://www.cian.ru/rent/flat/307707145/,Москва,rent,flat,6,15,3,105.0,480000,0,Дорогомилово,Студенческая ,20к1,Студенческая
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307658109/,Москва,rent,flat,8,8,3,98.0,235000,0,Дорогомилово,набережная Тараса Шевченко,1,Студенческая
4,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307609869/,Москва,rent,flat,3,5,3,80.0,270000,0,Дорогомилово,Студенческая ,34,Студенческая
5,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307607173/,Москва,rent,flat,4,8,3,70.0,230000,0,Дорогомилово,Кутузовский проспект,26К1,Студенческая
6,KINS Group,real_estate_agent,https://www.cian.ru/rent/flat/307582728/,Москва,rent,flat,8,14,3,98.0,228000,0,Дорогомилово,набережная Тараса Шевченко,1,Студенческая
7,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307577583/,Москва,rent,flat,3,8,3,120.0,230000,0,Дорогомилово,набережная Тараса Шевченко,1,Студенческая
8,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307492790/,Москва,rent,flat,2,6,3,73.0,180000,0,Дорогомилово,Студенческая ,28к1,Студенческая
9,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307384778/,Москва,rent,flat,4,8,3,70.0,230000,0,Дорогомилово,Кутузовский проспект,26К1,Студенческая
10,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307103885/,Москва,rent,flat,4,8,3,80.0,200000,0,Дорогомилово,Киевская ,28/44,Студенческая
11,Анна Миронова,realtor,https://www.cian.ru/rent/flat/307083512/,Москва,rent,flat,2,6,3,90.0,195000,0,Дорогомилово,Студенческая ,28к1,Студенческая
12,ID 44877722,unknown,https://www.cian.ru/rent/flat/307042982/,Москва,rent,flat,6,8,3,78.0,135000,0,Дорогомилово,Кутузовский проспект,14,Студенческая
13,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/306942258/,Москва,rent,flat,3,8,3,77.0,140000,0,Дорогомилово, Можайский Вал,6,Студенческая
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306847315/,Москва,rent,flat,3,8,3,77.0,130000,0,Дорогомилово, Можайский Вал,6,Студенческая
15,ЦДВ Инвест,real_estate_agent,https://www.cian.ru/rent/flat/306762848/,Москва,rent,flat,4,10,3,71.0,220000,0,Дорогомилово,Кутузовский проспект,24,Студенческая
16,ID 25406066,unknown,https://www.cian.ru/rent/flat/306655412/,Москва,rent,flat,1,8,3,80.0,145000,0,Дорогомилово,Киевская ,24,Студенческая
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305904706/,Москва,rent,flat,4,8,3,76.0,170000,0,Дорогомилово, Можайский Вал,6,Студенческая
18,RainbowEstate,real_estate_agent,https://www.cian.ru/rent/flat/305821570/,Москва,rent,flat,4,8,3,76.0,170000,0,Дорогомилово, Можайский Вал,6,Студенческая
19,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/305634565/,Москва,rent,flat,5,5,3,89.0,220000,0,Дорогомилово,Студенческая ,22К2,Студенческая
20,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/305196433/,Москва,rent,flat,1,11,3,115.0,215000,0,Дорогомилово,Кутузовский проспект,30,Студенческая
21,МЕЗОН,real_estate_agent,https://www.cian.ru/rent/flat/303375918/,Москва,rent,flat,7,15,3,109.0,200000,0,Дорогомилово,Бережковская набережная,12,Студенческая
22,ID 12649614,unknown,https://www.cian.ru/rent/flat/298869074/,Москва,rent,flat,6,8,3,80.0,135000,0,Дорогомилово,Кутузовский проспект,19,Студенческая
23,SPENСER ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/296407784/,Москва,rent,flat,5,12,3,115.0,215000,0,Дорогомилово,Кутузовский проспект,30,Студенческая
24,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/295830178/,Москва,rent,flat,5,10,3,115.0,215000,0,Дорогомилово,Кутузовский проспект,30,Студенческая
25,ID 392291,realtor,https://www.cian.ru/rent/flat/293983322/,Москва,rent,flat,3,8,3,77.0,140000,0,Дорогомилово, Можайский Вал,6,Студенческая
26,RITA ZURABOVNA REALTY,real_estate_agent,https://www.cian.ru/rent/flat/307718450/,Москва,rent,flat,4,10,3,95.0,110000,0,Арбат,1-й Смоленский переулок,9С1,Смоленская
27,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307521524/,Москва,rent,flat,14,16,3,88.0,200000,0,Хамовники,Малый Власьевский переулок,3к1,Кропоткинская
28,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,Москва,rent,flat,4,8,2,46.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Кропоткинская
