,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 66033297,homeowner,https://www.cian.ru/rent/flat/307740155/,Москва,rent,flat,9,12,2,55.0,85000,0,Мещанский,переулок Васнецова,3,Сухаревская
1,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/307684315/,Москва,rent,flat,2,12,2,53.0,75000,0,Мещанский,переулок Васнецова,3,Сухаревская
2,Рамиз Азизов,realtor,https://www.cian.ru/rent/flat/307656316/,Москва,rent,flat,4,12,2,45.0,115000,0,Мещанский,Последний переулок,15,Сухаревская
3,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307636558/,Москва,rent,flat,1,5,2,68.0,141000,0,Мещанский,переулок Большой Головин,14,Сухаревская
4,SPENСER ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307590865/,Москва,rent,flat,3,8,2,55.6,495000,0,Красносельский,Костянский переулок,13,Сухаревская
5,ВАШ Комфорт,real_estate_agent,https://www.cian.ru/rent/flat/307547769/,Москва,rent,flat,3,10,2,60.0,120000,0,Мещанский,Малая Сухаревская площадь,3,Сухаревская
6,Владис,real_estate_agent,https://www.cian.ru/rent/flat/306947203/,Москва,rent,flat,4,8,2,58.0,500000,0,Мещанский,Садовая-Сухаревская ,13/15,Сухаревская
7,Честный Партнер,real_estate_agent,https://www.cian.ru/rent/flat/306827041/,Москва,rent,flat,7,12,2,44.6,108000,0,Мещанский,Троицкая ,10С1,Сухаревская
8,ID 136061,realtor,https://www.cian.ru/rent/flat/306648430/,Москва,rent,flat,7,12,2,60.0,120000,0,Мещанский, Гиляровского,33,Сухаревская
9,ID 8588,realtor,https://www.cian.ru/rent/flat/306593711/,Москва,rent,flat,2,5,2,54.2,115000,0,Мещанский,переулок Васнецова,11К2,Сухаревская
10,Станислав Морозов,realtor,https://www.cian.ru/rent/flat/296227883/,Москва,rent,flat,1,5,2,45.0,180000,0,Красносельский,переулок 1-й Коптельский,24с3,Сухаревская
11,Дворянское гнездо,real_estate_agent,https://www.cian.ru/rent/flat/285041156/,Москва,rent,flat,4,12,2,75.0,190000,0,Мещанский,Ботанический переулок,5,Сухаревская
12,Михаил Иванов,realtor,https://www.cian.ru/rent/flat/307586651/,Москва,rent,flat,2,7,3,75.9,95000,0,Хамовники,переулок Сивцев Вражек,21,Смоленская
13,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307576555/,Москва,rent,flat,4,5,2,46.0,80000,0,Тверской,Новосущевская ,14,Достоевская
14,Золотой ключ,real_estate_agent,https://www.cian.ru/rent/flat/307534474/,Москва,rent,flat,11,12,2,38.0,70000,0,Мещанский,Капельский переулок,3,Проспект Мира
15,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
16,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,Москва,rent,flat,4,8,2,46.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Кропоткинская
17,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307537332/,Москва,rent,flat,2,4,1,35.0,110000,0,Тверской,Малый Гнездниковский переулок,10,Тверская
18,ID 48976342,unknown,https://www.cian.ru/rent/flat/307046940/,Москва,rent,flat,3,5,2,42.0,85000,0,Тверской, Петровка,26С5,Трубная
19,Елена Власенкова,realtor,https://www.cian.ru/rent/flat/307519893/,Москва,rent,flat,11,15,2,46.0,100000,0,Тверской,3-й Самотечный переулок,2,Достоевская
20,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
21,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303632194/,Москва,rent,flat,5,5,3,65.2,130000,0,Замоскворечье,Пятницкая ,28,Третьяковская
22,ID 61405844,homeowner,https://www.cian.ru/rent/flat/307471937/,Москва,rent,flat,5,14,2,56.0,95000,0,Марьина роща,Октябрьская ,37,Марьина Роща
23,ID 79203211,unknown,https://www.cian.ru/rent/flat/307628946/,Москва,rent,flat,6,10,2,52.0,100000,0,Басманный,Нижняя Красносельская ,35С50,Бауманская
24,Дипломат,real_estate_agent,https://www.cian.ru/rent/flat/307131445/,Москва,rent,flat,6,6,2,52.0,130000,0,Пресненский,Большой Патриарший переулок,10,Маяковская
