,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Валерий Моисеев,realtor,https://www.cian.ru/rent/flat/307737988/,Москва,rent,flat,25,25,3,70.0,90000,0,Рязанский, Васильцовский Стан,5К1,Текстильщики
1,Наталья Бондаренко,realtor,https://www.cian.ru/rent/flat/306749199/,Москва,rent,flat,7,16,3,90.0,130000,0,Текстильщики, 8-я Текстильщиков,13К2,Текстильщики
2,Гранд Сервис Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306564196/,Москва,rent,flat,17,25,3,75.0,100000,0,Рязанский, Васильцовский Стан,9,Текстильщики
3,Ольга Титова,realtor,https://www.cian.ru/rent/flat/305861541/,Москва,rent,flat,20,23,3,84.5,87000,0,Рязанский, Васильцовский Стан,3К1,Текстильщики
4,Григорий Баринов,realtor,https://www.cian.ru/rent/flat/307724413/,Москва,rent,flat,6,9,2,52.5,70000,0,Текстильщики, Юных Ленинцев,18К2,Волжская
5,ID 13974977,realtor,https://www.cian.ru/rent/flat/278556569/,Москва,rent,flat,7,7,-1,21.0,7500,0,Южнопортовый,6-я Кожуховская ,24,Кожуховская
6,Андрей Корчуганов,realtor,https://www.cian.ru/rent/flat/307618281/,Москва,rent,flat,5,12,3,62.0,85000,0,Текстильщики, Юных Ленинцев,10/15К2,Печатники
7,Валерий Фаер,realtor,https://www.cian.ru/rent/flat/307708781/,Москва,rent,flat,9,18,2,57.0,75000,0,Текстильщики, Чистова,16к6,Волжская
8,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307534548/,Москва,rent,flat,6,30,3,70.0,125000,0,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская
9,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307575910/,Москва,rent,flat,11,21,3,80.0,135000,0,Южнопортовый, Мельникова,3к6,Волгоградский проспект
10,ID 92209177,homeowner,https://www.cian.ru/rent/flat/305592315/,Москва,rent,flat,11,25,3,80.0,170000,0,Вешняки,Вешняковская ,24К1,Выхино
11,Максим Тарасов,realtor,https://www.cian.ru/rent/flat/306692133/,Москва,rent,flat,7,25,2,71.0,73000,0,Печатники, Гурьянова,19К2,Печатники
12,Виктория Хижняк,realtor,https://www.cian.ru/rent/flat/307701480/,Москва,rent,flat,3,5,3,57.0,100000,0,Южнопортовый,1-я Дубровская ,4Б,Пролетарская
13,Валерий Моисеев,realtor,https://www.cian.ru/rent/flat/307698721/,Москва,rent,flat,17,23,1,42.0,60000,0,Рязанский, Васильцовский Стан,3К1,Текстильщики
14,Антон Биличенко,realtor,https://www.cian.ru/rent/flat/307716912/,Москва,rent,flat,10,14,1,40.0,60000,0,Текстильщики, 8-я Текстильщиков,10,Текстильщики
15,ID 45447235,homeowner,https://www.cian.ru/rent/flat/307685822/,Москва,rent,flat,17,18,3,75.2,100000,0,Кузьминки, Юных Ленинцев,73,Кузьминки
16,Елена Деменникова,realtor,https://www.cian.ru/rent/flat/307393381/,Москва,rent,flat,9,12,3,80.0,130000,0,Таганский,Краснохолмская набережная,1/15,Таганская
17,ID 20188,realtor,https://www.cian.ru/rent/flat/307657602/,Москва,rent,flat,6,13,3,53.6,95000,0,Таганский,Волгоградский проспект,1С1,Пролетарская
