,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,PROSHIN-REALTY,real_estate_agent,https://www.cian.ru/rent/flat/307781594/,Москва,rent,flat,11,15,1,60.0,275000,0,Пресненский, Костикова,4к4,Москва-Сити
1,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307756135/,Москва,rent,flat,19,23,1,35.0,100000,0,Пресненский,Шмитовский проезд,39к2,Москва-Сити
2,Наталья  Городничая,realtor,https://www.cian.ru/rent/flat/307751127/,Москва,rent,flat,4,14,1,36.0,70000,0,Пресненский,Красногвардейский бульвар,1,Москва-Сити
3,Евразия Инвест,real_estate_agent,https://www.cian.ru/rent/flat/307747712/,Москва,rent,flat,3,11,1,43.1,85000,0,Пресненский,Шмитовский проезд,39к8,Москва-Сити
4,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307741460/,Москва,rent,flat,3,33,1,25.0,70000,0,Хорошево-Мневники,Причальный проезд,10к1,Москва-Сити
5,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307682184/,Москва,rent,flat,3,12,1,36.0,120000,0,Пресненский,Шмитовский проезд,28,Москва-Сити
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307677954/,Москва,rent,flat,3,12,1,35.0,120000,0,Пресненский,Шмитовский проезд,28,Москва-Сити
7,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307671086/,Москва,rent,flat,3,12,1,35.1,120000,0,Пресненский,Шмитовский проезд,28,Москва-Сити
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307654621/,Москва,rent,flat,19,22,1,31.0,85000,0,Пресненский,Шмитовский проезд,39к2,Москва-Сити
9,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307649357/,Москва,rent,flat,31,37,1,38.0,120000,0,Хорошево-Мневники,Шелепихинская набережная,34к1,Москва-Сити
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307629869/,Москва,rent,flat,31,37,1,35.0,120000,0,Хорошево-Мневники,Шелепихинская набережная,34,Москва-Сити
11,МГАН,real_estate_agent,https://www.cian.ru/rent/flat/307627985/,Москва,rent,flat,36,42,1,36.0,100000,0,Хорошево-Мневники,Шелепихинская набережная,34к1,Москва-Сити
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307582429/,Москва,rent,flat,6,9,1,32.0,70000,0,Пресненский,Причальный проезд,3К1,Москва-Сити
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307566693/,Москва,rent,flat,43,53,1,44.0,150000,0,Пресненский,Шмитовский проезд,39к8,Москва-Сити
14,ID 137699,realtor,https://www.cian.ru/rent/flat/307550384/,Москва,rent,flat,4,10,1,33.5,130000,0,Пресненский,Мантулинская ,9к4,Москва-Сити
15,Руслан Кадиров,realtor,https://www.cian.ru/rent/flat/307525580/,Москва,rent,flat,43,53,1,45.0,150000,0,Пресненский,Шмитовский проезд,39к8,Москва-Сити
16,Елена Горшкова,realtor,https://www.cian.ru/rent/flat/307448108/,Москва,rent,flat,11,14,1,38.0,120000,0,Пресненский,Красногвардейский бульвар,1,Москва-Сити
17,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307396686/,Москва,rent,flat,43,53,1,45.0,150000,0,Пресненский,Шмитовский проезд,39к8,Москва-Сити
18,ID 29266,realtor,https://www.cian.ru/rent/flat/307370715/,Москва,rent,flat,17,33,1,34.0,125000,0,Хорошево-Мневники,Причальный проезд,10к1,Москва-Сити
19,Анастасия Морозова,realtor,https://www.cian.ru/rent/flat/307336523/,Москва,rent,flat,46,78,1,78.5,450000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити
20,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307335252/,Москва,rent,flat,2,7,1,45.0,140000,0,Пресненский,Шмитовский проезд,39к1,Москва-Сити
21,ENrich Estate,real_estate_agent,https://www.cian.ru/rent/flat/307325090/,Москва,rent,flat,4,9,1,40.0,170000,0,Пресненский,Мантулинская ,9к6,Москва-Сити
22,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307312880/,Москва,rent,flat,2,53,1,21.0,120000,0,Пресненский,Шмитовский проезд,39к8,Москва-Сити
23,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307312878/,Москва,rent,flat,5,35,1,25.0,120000,0,Пресненский,Шмитовский проезд,39к8,Москва-Сити
24,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307312877/,Москва,rent,flat,2,53,1,29.0,120000,0,Пресненский,Шмитовский проезд,39к8,Москва-Сити
25,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307260762/,Москва,rent,flat,3,33,1,21.0,72000,0,Хорошево-Мневники,Причальный проезд,10к1,Москва-Сити
26,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307260439/,Москва,rent,flat,5,35,1,24.0,130000,0,Пресненский,Шмитовский проезд,39к8,Москва-Сити
27,Андрей Басов,realtor,https://www.cian.ru/rent/flat/307184529/,Москва,rent,flat,32,42,1,38.0,85000,0,Пресненский,Мукомольный проезд,2,Москва-Сити
28,Equilibrium,real_estate_agent,https://www.cian.ru/rent/flat/307155743/,Москва,rent,flat,19,33,1,33.9,40000,0,Хорошево-Мневники,Причальный проезд,10к1,Москва-Сити
29,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306841368/,Москва,rent,flat,9,18,1,40.0,165000,0,Пресненский,Мантулинская ,9к2,Москва-Сити
30,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306785836/,Москва,rent,flat,9,33,1,23.0,115000,0,Хорошево-Мневники,Причальный проезд,10к1,Москва-Сити
31,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/306781676/,Москва,rent,flat,9,21,1,40.0,165000,0,Пресненский,Мантулинская ,9к2,Москва-Сити
32,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/306777309/,Москва,rent,flat,15,51,1,42.0,130000,0,Пресненский,Шмитовский проезд,39,Москва-Сити
33,Ольга Богданова,realtor,https://www.cian.ru/rent/flat/306698030/,Москва,rent,flat,18,40,1,44.2,120000,0,Пресненский,Мукомольный проезд,2,Москва-Сити
34,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306393565/,Москва,rent,flat,9,33,1,23.0,115000,0,Хорошево-Мневники,Причальный проезд,10к1,Москва-Сити
