,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 86818327,homeowner,https://www.cian.ru/rent/flat/307728887/,Москва,rent,flat,9,15,3,74.6,150000,0,Даниловский,Автозаводская ,23с931к3,Технопарк
1,ID 47206301,unknown,https://www.cian.ru/rent/flat/307725100/,Москва,rent,flat,3,15,3,72.0,300000,0,Даниловский,проспект Лихачева,14,Технопарк
2,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307660365/,Москва,rent,flat,4,5,3,85.0,170000,0,Даниловский,проспект Лихачева,22,Технопарк
3,Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307639402/,Москва,rent,flat,20,20,3,76.0,250000,0,Даниловский,бульвар Братьев Весниных,2,Технопарк
4,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307571856/,Москва,rent,flat,4,5,3,82.0,170000,0,Даниловский,проспект Лихачева,22,Технопарк
5,ID 89814961,unknown,https://www.cian.ru/rent/flat/307570756/,Москва,rent,flat,12,14,3,90.0,300000,0,Даниловский,набережная Марка Шагала,1к2,Технопарк
6,ID 40785623,homeowner,https://www.cian.ru/rent/flat/307567238/,Москва,rent,flat,4,5,3,82.0,170000,0,Даниловский,проспект Лихачева,22,Технопарк
7,ID 113479997,realtor,https://www.cian.ru/rent/flat/307549170/,Москва,rent,flat,9,28,3,87.0,120000,0,Даниловский,Автозаводская ,23Бк2,Технопарк
8,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307534552/,Москва,rent,flat,5,6,3,90.0,220000,0,Даниловский,проспект Лихачева,10к4,Технопарк
9,ID 85349734,homeowner,https://www.cian.ru/rent/flat/307531588/,Москва,rent,flat,20,20,3,76.0,250000,0,Даниловский,бульвар Братьев Весниных,2,Технопарк
10,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307473602/,Москва,rent,flat,15,20,3,68.0,150000,0,Даниловский,проспект Андропова,18к2,Технопарк
11,ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/rent/flat/307321866/,Москва,rent,flat,8,24,3,73.0,299999,0,Нагатинский затон,проспект Андропова,9/1,Технопарк
12,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307025756/,Москва,rent,flat,5,6,3,90.0,220000,0,Даниловский,проспект Лихачева,10,Технопарк
13,ID 121182179,homeowner,https://www.cian.ru/rent/flat/306940889/,Москва,rent,flat,5,7,3,118.5,400000,0,Даниловский,набережная Марка Шагала,1к2,Технопарк
14,ID 83054009,homeowner,https://www.cian.ru/rent/flat/306217821/,Москва,rent,flat,7,20,3,67.0,200000,0,Даниловский,проспект Лихачева,18к4,Технопарк
15,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/306110383/,Москва,rent,flat,9,15,3,60.0,127000,0,Даниловский,проспект Лихачева,18к6,Технопарк
16,ID 277227,unknown,https://www.cian.ru/rent/flat/301320108/,Москва,rent,flat,10,10,2,38.0,100000,0,Даниловский,проспект Лихачева,12к3,Технопарк
17,Вадим Завадский,realtor,https://www.cian.ru/rent/flat/307704345/,Москва,rent,flat,7,15,3,65.0,150000,0,Нагатинский затон, Корабельная,15,Нагатинский Затон
18,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/298453672/,Москва,rent,flat,12,16,2,50.0,155000,0,Даниловский, Архитектора Щусева,5к2,ЗИЛ
19,АКРУС-сити,real_estate_agent,https://www.cian.ru/rent/flat/307219810/,Москва,rent,flat,2,11,2,50.4,145000,0,Даниловский, Архитектора Щусева,5к1,ЗИЛ
20,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307549492/,Москва,rent,flat,3,33,3,100.0,120000,0,Нагатино-Садовники,1-й Нагатинский проезд,11к3,Нагатинская
21,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307706525/,Москва,rent,flat,2,14,1,39.0,90000,0,Нагатинский затон, Корабельная,9А,Нагатинский Затон
22,Никита Перекальский,realtor,https://www.cian.ru/rent/flat/306681598/,Москва,rent,flat,19,20,2,65.0,180000,0,Даниловский,бульвар Братьев Весниных,2,Технопарк
23,ID 87484330,homeowner,https://www.cian.ru/rent/flat/293720088/,Москва,rent,flat,3,3,3,77.0,187000,0,Басманный, Покровка,14/2С1,Чистые пруды
24,ID 88353013,homeowner,https://www.cian.ru/rent/flat/271014066/,Москва,rent,flat,11,25,2,75.0,120000,0,Нагатино-Садовники,Нагатинская набережная,18к1,Технопарк
