,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Ирина Руперти,realtor,https://odintsovo.cian.ru/rent/flat/307293840/,Москва,rent,flat,1,6,3,112.0,165000,0,Азарово Северное кп, Сиреневая,6,
1,My Hoyse,real_estate_agent,https://odintsovo.cian.ru/rent/flat/303319631/,Москва,rent,flat,3,17,3,116.0,100000,0,,,,
2,ID 92483847,homeowner,https://odintsovo.cian.ru/rent/flat/283793068/,Москва,rent,flat,6,12,3,76.0,55000,0,,,,
3,ID 12269152,unknown,https://odintsovo.cian.ru/rent/flat/307707462/,Москва,rent,flat,9,10,2,57.6,55000,0,,,,
4,ID 101449025,homeowner,https://odintsovo.cian.ru/rent/flat/299067182/,Москва,rent,flat,2,5,1,34.0,50000,0,,,,
5,Галина Нугманова,realtor,https://odintsovo.cian.ru/rent/flat/192111613/,Москва,rent,flat,5,15,2,63.0,65000,0,с. Немчиновка,Советский проспект,104,
6,Елена Лебедевская,realtor,https://odintsovo.cian.ru/rent/flat/307429932/,Москва,rent,flat,4,6,3,110.0,90000,0,с. Ромашково, Никольская,14к1,
7,Арбат-Н,real_estate_agent,https://odintsovo.cian.ru/rent/flat/295096605/,Москва,rent,flat,1,8,2,65.0,70000,0,Заречье рп, Университетская,4,
8,Юрий Муромцев,realtor,https://odintsovo.cian.ru/rent/flat/257705602/,Москва,rent,flat,13,20,3,98.0,130000,0,Новоивановское рп, Агрохимиков,15А,
9,БЕСТ на Октябрьской,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307685515/,Москва,rent,flat,2,4,3,56.0,56900,0,,,,
10,ID 113204452,official_representative,https://zvenigorod.cian.ru/rent/flat/307707544/,Москва,rent,flat,2,5,3,74.0,85000,0,Звенигород, Фрунзе,29,
11,Наталья Яковлева,realtor,https://odintsovo.cian.ru/rent/flat/306789592/,Москва,rent,flat,5,10,2,44.0,95000,0,Заречье рп, Каштановая,6,
12,МИЛЛЕНИУМ,real_estate_agent,https://odintsovo.cian.ru/rent/flat/223019591/,Москва,rent,flat,2,2,2,50.0,50000,0,,,,
13,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307702248/,Москва,rent,flat,9,10,1,75.0,135000,0,Заречье рп, Каштановая,6,
14,ID 109346848,homeowner,https://odintsovo.cian.ru/rent/flat/304979276/,Москва,rent,flat,7,26,3,78.0,80000,0,Новоивановское рп,Можайское шоссе,50,
15,New Day Realty,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307707859/,Москва,rent,flat,6,9,2,36.0,85000,0,Заречье рп,Луговая ,6к1,
