,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Злата Бирюкова,realtor,https://lytkarino.cian.ru/rent/flat/307784293/,Москва,rent,flat,4,4,2,53.2,48000,0,,Коммунистическая ,54,Томилино
1,Андрей Лебешов,realtor,https://lyubertsy.cian.ru/rent/flat/307782376/,Москва,rent,flat,5,5,2,45.1,50000,0,Томилино рп, Потехина,15,
2,MOTYLEK - департамент недвижимости,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307778503/,Москва,rent,flat,6,17,2,41.0,48000,0,Красково дп, Карла Маркса,83,
3,Кредит-Центр Недвижимость,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307773303/,Москва,rent,flat,11,17,2,56.0,60000,0,пос. Мирный, Крымская,10,
4,ID 113877846,homeowner,https://lyubertsy.cian.ru/rent/flat/307729272/,Москва,rent,flat,1,5,2,40.8,50000,0,,,,
5,Яндекс Аренда,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307712837/,Москва,rent,flat,6,9,2,30.5,44000,0,Томилино рп, Гаршина,9Ак11,
6,Кристина Лебедева,realtor,https://lyubertsy.cian.ru/rent/flat/307709632/,Москва,rent,flat,4,5,2,44.0,45000,0,,Октябрьский проспект,346Л,Томилино
7,МИРА,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307706912/,Москва,rent,flat,3,5,2,44.0,43000,0,,Октябрьский проспект,346К,Томилино
8,ID 65289609,homeowner,https://lyubertsy.cian.ru/rent/flat/307696944/,Москва,rent,flat,2,3,2,47.0,55000,0,Микрорайон экопарк, Беляева,15,
9,АВАНГАРД,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307657618/,Москва,rent,flat,4,17,2,38.0,45000,0,пос. Мирный, Академика Северина,12,
10,Мария Орешкова,realtor,https://lyubertsy.cian.ru/rent/flat/307650505/,Москва,rent,flat,8,17,2,50.0,46000,0,Красково дп,проезд 2-й Осоавиахимовский,12,
11,ID 122084147,homeowner,https://lyubertsy.cian.ru/rent/flat/307638552/,Москва,rent,flat,8,17,2,35.0,50000,0,пос. Мирный, Академика Северина,12,
12,ID 755581,realtor,https://lyubertsy.cian.ru/rent/flat/307636537/,Москва,rent,flat,5,5,2,54.0,30000,0,Томилино рп, Пионерская,17,
13,ID 443788,realtor,https://lyubertsy.cian.ru/rent/flat/307631504/,Москва,rent,flat,7,10,2,96.0,53900,0,,Октябрьский проспект,373к9,Томилино
14,Комфорт,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307627397/,Москва,rent,flat,6,12,2,50.0,50000,0,Томилино рп, Пионерская,22,
15,NSK НЕДВИЖИМОСТЬ,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307607818/,Москва,rent,flat,7,17,2,46.0,40000,0,пос. Мирный, Академика Северина,7/1,
16,Олеся Студинская,realtor,https://lytkarino.cian.ru/rent/flat/307562655/,Москва,rent,flat,3,17,2,40.5,40000,0,,,15Г,Томилино
17,Юлия Голышева,realtor,https://lyubertsy.cian.ru/rent/flat/307218682/,Москва,rent,flat,4,17,2,35.0,40000,0,,,,
18,NSK НЕДВИЖИМОСТЬ,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307116506/,Москва,rent,flat,7,22,2,60.0,40000,0,Октябрьский рп, Школьная,1,
19,Квартирный центр,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/306894657/,Москва,rent,flat,8,18,2,35.0,50000,0,,,,
20,MOTYLEK - департамент недвижимости,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/306500372/,Москва,rent,flat,7,9,2,43.0,45000,0,Томилино рп, Пионерская,16,
21,МИРА,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/306436437/,Москва,rent,flat,3,4,2,52.0,36000,0,,,,
22,NSK НЕДВИЖИМОСТЬ,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/306415036/,Москва,rent,flat,2,17,2,76.4,40000,0,Октябрьский рп, Спортивная,1,
23,ID 64059704,realtor,https://lyubertsy.cian.ru/rent/flat/306390069/,Москва,rent,flat,1,5,2,50.0,48000,0,, Электрификации,23А,Томилино
24,Центральное,real_estate_agent,https://lytkarino.cian.ru/rent/flat/306360756/,Москва,rent,flat,12,25,2,65.1,50000,0,, Ухтомского,4,Томилино
25,Дмитрий Неводов,realtor,https://lyubertsy.cian.ru/rent/flat/305984211/,Москва,rent,flat,4,20,2,81.0,55000,0,Красково дп, 2-я Заводская,16,
26,ID 78784242,homeowner,https://lyubertsy.cian.ru/rent/flat/280757885/,Москва,rent,flat,9,12,2,70.0,50000,0,Томилино рп, Пионерская,22,
27,Юрий Ким,realtor,https://lyubertsy.cian.ru/rent/flat/255573851/,Москва,rent,flat,3,3,2,42.6,30000,0,Малаховка рп, Интернациональная,17А,
28,ID 104084993,homeowner,https://lyubertsy.cian.ru/rent/flat/306064023/,Москва,rent,flat,3,4,2,42.0,38000,0,, 8 Марта,42,Лухмановская
29,Павел Дудоладов,realtor,https://lyubertsy.cian.ru/rent/flat/307342194/,Москва,rent,flat,4,17,1,34.0,30000,0,,проезд Некрасовский,13,Некрасовка
