,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,AURELIA,real_estate_agent,https://www.cian.ru/rent/flat/307784960/,Москва,rent,flat,16,16,3,104.0,125000,0,Теплый Стан, Академика Виноградова,1,Тропарёво
1,Адельфа,real_estate_agent,https://www.cian.ru/rent/flat/307782706/,Москва,rent,flat,16,16,3,104.0,125000,0,Теплый Стан, Академика Виноградова,1,Тропарёво
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307779173/,Москва,rent,flat,19,23,3,102.0,150000,0,Теплый Стан, Островитянова,6,Тропарёво
3,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307763675/,Москва,rent,flat,16,23,3,104.0,125000,0,Теплый Стан, Академика Виноградова,1,Тропарёво
4,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307756551/,Москва,rent,flat,16,16,3,104.0,125000,0,Теплый Стан, Академика Виноградова,1,Тропарёво
5,ID 122180417,homeowner,https://www.cian.ru/rent/flat/307729149/,Москва,rent,flat,19,23,3,102.2,165000,0,Теплый Стан, Островитянова,6,Тропарёво
6,Вера Шейн,realtor,https://www.cian.ru/rent/flat/307727918/,Москва,rent,flat,5,29,3,78.0,100000,0,Теплый Стан,Ленинский проспект,131,Тропарёво
7,Premium Realty,real_estate_agent,https://www.cian.ru/rent/flat/307722022/,Москва,rent,flat,27,33,3,154.0,270000,0,Тропарево-Никулино,проспект Вернадского,94к2,Тропарёво
8,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307625091/,Москва,rent,flat,20,24,3,111.6,150000,0,Теплый Стан,Ленинский проспект,137К1,Тропарёво
9,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307609166/,Москва,rent,flat,11,17,3,79.0,150000,0,Тропарево-Никулино, Академика Анохина,5К2,Тропарёво
10,СДЕЛКА,real_estate_agent,https://www.cian.ru/rent/flat/307571016/,Москва,rent,flat,8,17,3,86.0,110000,0,Теплый Стан,Ленинский проспект,127,Тропарёво
11,ID 16254,realtor,https://www.cian.ru/rent/flat/307413721/,Москва,rent,flat,17,17,3,78.0,120000,0,Теплый Стан,Ленинский проспект,127,Тропарёво
12,БРАЙТХОУМ,real_estate_agent,https://www.cian.ru/rent/flat/307389315/,Москва,rent,flat,11,14,3,137.0,220000,0,Тропарево-Никулино,проспект Вернадского,94к5,Тропарёво
