,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Наталья Шульга,realtor,https://www.cian.ru/rent/flat/307780793/,Москва,rent,flat,10,22,3,78.1,80000,0,Останкинский, Академика Королева,4К2,Улица Академика Королёва
1,Владимир Дворянский,realtor,https://www.cian.ru/rent/flat/307657836/,Москва,rent,flat,8,8,3,74.0,170000,0,Останкинский, Бочкова,8,Улица Академика Королёва
2,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307657259/,Москва,rent,flat,4,8,3,98.0,155000,0,Останкинский, Бочкова,5,Улица Академика Королёва
3,ID 96290085,homeowner,https://www.cian.ru/rent/flat/307633522/,Москва,rent,flat,4,12,3,50.0,120000,0,Останкинский, Цандера,7,Улица Академика Королёва
4,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307486577/,Москва,rent,flat,3,35,3,80.0,225000,0,Останкинский, Годовикова,11к2,Улица Академика Королёва
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307432152/,Москва,rent,flat,3,35,3,80.0,225000,0,Останкинский, Годовикова,11к2,Улица Академика Королёва
6,ID 13281073,realtor,https://www.cian.ru/rent/flat/307085230/,Москва,rent,flat,3,35,3,80.0,225000,0,Останкинский, Годовикова,11к2,Улица Академика Королёва
7,СЕДЬМОЕ НЕБО,real_estate_agent,https://www.cian.ru/rent/flat/306763802/,Москва,rent,flat,7,23,3,111.0,300000,0,Останкинский, Академика Королева,10,Улица Академика Королёва
8,ID 234792,real_estate_agent,https://www.cian.ru/rent/flat/307679785/,Москва,rent,flat,12,22,3,76.4,85000,0,Алексеевский,Маломосковская ,21К1,ВДНХ
9,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307634945/,Москва,rent,flat,19,33,2,45.0,130000,0,Останкинский, Годовикова,11к4,Алексеевская
10,Юлия Махматкулова,realtor,https://www.cian.ru/rent/flat/307484089/,Москва,rent,flat,5,35,1,37.0,99990,0,Останкинский, Годовикова,11к4,Алексеевская
11,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307674470/,Москва,rent,flat,7,20,3,50.0,95000,0,Останкинский,Березовая аллея,19к4,Ботанический сад
12,ID 91549886,homeowner,https://www.cian.ru/rent/flat/307650318/,Москва,rent,flat,5,8,2,50.0,160000,0,Алексеевский,Новоалексеевская ,16к3,Алексеевская
13,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307308607/,Москва,rent,flat,15,36,3,62.0,230000,0,Алексеевский,Новоалексеевская ,16к4,Алексеевская
14,ID 87484330,homeowner,https://www.cian.ru/rent/flat/293720088/,Москва,rent,flat,3,3,3,77.0,187000,0,Басманный, Покровка,14/2С1,Чистые пруды
15,ID 12319223,unknown,https://www.cian.ru/rent/flat/307630873/,Москва,rent,flat,19,21,3,109.0,200000,0,Сокольники, Сокольнический Вал,3,Рижская
16,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307680523/,Москва,rent,flat,6,11,2,70.0,90000,0,Алексеевский,Рижский проезд,3,Алексеевская
17,ID 80171119,unknown,https://www.cian.ru/rent/flat/307538896/,Москва,rent,flat,1,8,3,82.0,120000,0,Тимирязевский,Дмитровский проезд,8,Дмитровская
18,Ольга Исаченко,realtor,https://www.cian.ru/rent/flat/260003242/,Москва,rent,flat,6,17,3,80.0,110000,0,Алексеевский,3-я Мытищинская ,3к2,Алексеевская
19,ID 94209156,homeowner,https://www.cian.ru/rent/flat/305513089/,Москва,rent,flat,1,12,3,69.0,80000,0,Ростокино,проспект Мира,200К2,Ростокино
20,VIVAVI ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307715280/,Москва,rent,flat,18,20,2,60.7,190000,0,Алексеевский,Новоалексеевская ,16к4,Алексеевская
21,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307656060/,Москва,rent,flat,3,10,2,58.0,185000,0,Беговой,Ленинградский проспект,35,Петровский Парк
22,Центр Недвижимости плюс,real_estate_agent,https://www.cian.ru/rent/flat/307571999/,Москва,rent,flat,19,30,1,44.0,95000,0,Алексеевский,Староалексеевская ,5А,Алексеевская
23,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307701684/,Москва,rent,flat,12,16,3,76.0,87000,0,Алексеевский,Маломосковская ,21К2,ВДНХ
24,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307209725/,Москва,rent,flat,12,35,1,42.0,150000,0,Останкинский, Годовикова,11к2,Улица Академика Королёва
