,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 25603,realtor,https://www.cian.ru/rent/flat/307750047/,Москва,rent,flat,11,12,2,52.0,64000,0,Чертаново Южное, Газопровод,3К1,Улица Академика Янгеля
1,ID 231640,realtor,https://www.cian.ru/rent/flat/307746318/,Москва,rent,flat,4,14,2,39.0,55000,0,Чертаново Центральное,Чертановская ,46,Улица Академика Янгеля
2,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307740930/,Москва,rent,flat,7,26,2,57.0,120000,0,Чертаново Южное,Варшавское шоссе,141к12,Улица Академика Янгеля
3,Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307740141/,Москва,rent,flat,7,26,2,57.0,120000,0,Чертаново Южное,Варшавское шоссе,141к12,Улица Академика Янгеля
4,Марина Комарова,realtor,https://www.cian.ru/rent/flat/307706746/,Москва,rent,flat,11,16,2,59.0,70000,0,Чертаново Центральное,Варшавское шоссе,142К1,Улица Академика Янгеля
5,ID 48019121,realtor,https://www.cian.ru/rent/flat/307685558/,Москва,rent,flat,8,14,2,52.3,75000,0,Чертаново Центральное,Чертановская ,45К1,Улица Академика Янгеля
6,ИскИн,real_estate_agent,https://www.cian.ru/rent/flat/307657352/,Москва,rent,flat,33,33,2,40.0,70000,0,Чертаново Южное,Дорожная ,46к5,Улица Академика Янгеля
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307656479/,Москва,rent,flat,7,26,2,57.0,120000,0,Чертаново Южное,Варшавское шоссе,141к12,Улица Академика Янгеля
8,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307639924/,Москва,rent,flat,15,25,2,68.0,100000,0,Чертаново Южное,Варшавское шоссе,141к10,Улица Академика Янгеля
9,ID 13635289,homeowner,https://www.cian.ru/rent/flat/307636874/,Москва,rent,flat,7,26,2,57.0,120000,0,Чертаново Южное,Варшавское шоссе,141к12,Улица Академика Янгеля
10,Алексей Павлюков,realtor,https://www.cian.ru/rent/flat/307625300/,Москва,rent,flat,4,12,2,45.8,60000,0,Чертаново Южное,3-й Дорожный проезд,7К2,Улица Академика Янгеля
11,ID 208669,realtor,https://www.cian.ru/rent/flat/307612676/,Москва,rent,flat,10,13,2,47.0,75000,0,Чертаново Южное,Варшавское шоссе,141к11,Улица Академика Янгеля
12,Виктория Зубкова,realtor,https://www.cian.ru/rent/flat/307604594/,Москва,rent,flat,10,16,2,55.8,70000,0,Чертаново Центральное,Кировоградская ,19К1,Улица Академика Янгеля
13,Гор Караханян,realtor,https://www.cian.ru/rent/flat/307414193/,Москва,rent,flat,15,22,2,70.0,110000,0,Чертаново Южное, Академика Янгеля,1к1,Улица Академика Янгеля
14,ID 63321,realtor,https://www.cian.ru/rent/flat/307379475/,Москва,rent,flat,3,12,2,45.0,62000,0,Чертаново Южное,Кировоградская ,44К2,Улица Академика Янгеля
15,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307377008/,Москва,rent,flat,6,20,2,36.1,76000,0,Чертаново Южное,Дорожная ,46к6,Улица Академика Янгеля
16,Елена Соболева,realtor,https://www.cian.ru/rent/flat/307345553/,Москва,rent,flat,10,33,2,37.0,80000,0,Чертаново Южное,Дорожная ,46к5,Улица Академика Янгеля
17,Вера Григорьева,realtor,https://www.cian.ru/rent/flat/307314180/,Москва,rent,flat,9,9,2,52.0,62000,0,Чертаново Южное,Чертановская ,64К1,Улица Академика Янгеля
18,ID 529,realtor,https://www.cian.ru/rent/flat/307302583/,Москва,rent,flat,9,9,2,47.0,65000,0,Чертаново Южное,Россошанская ,3К2,Улица Академика Янгеля
19,Инга Талалаева,realtor,https://www.cian.ru/rent/flat/307181063/,Москва,rent,flat,29,32,2,50.0,70000,0,Чертаново Южное,Дорожная ,46к5,Улица Академика Янгеля
20,Елена Назарова,realtor,https://www.cian.ru/rent/flat/307111693/,Москва,rent,flat,12,17,2,54.0,65000,0,Чертаново Южное,Россошанская ,2К5,Улица Академика Янгеля
21,Домовой - Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307087826/,Москва,rent,flat,3,14,2,46.0,55000,0,Бирюлево Западное,Булатниковская ,4К2,Улица Академика Янгеля
22,ID 66404122,homeowner,https://www.cian.ru/rent/flat/307069084/,Москва,rent,flat,10,12,2,55.9,80000,0,Чертаново Южное, Академика Янгеля,14К8,Улица Академика Янгеля
23,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/306773041/,Москва,rent,flat,5,33,2,33.0,64000,0,Чертаново Южное,Дорожная ,46к5,Улица Академика Янгеля
24,Московский Дом,real_estate_agent,https://www.cian.ru/rent/flat/305154793/,Москва,rent,flat,4,14,2,47.1,50000,0,Чертаново Южное,Чертановская ,63К2,Улица Академика Янгеля
25,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/303074291/,Москва,rent,flat,11,12,2,47.0,80000,0,Чертаново Южное,3-й Дорожный проезд,4К2,Улица Академика Янгеля
26,ID 30577,realtor,https://www.cian.ru/rent/flat/302374532/,Москва,rent,flat,1,12,2,50.0,55000,0,Чертаново Центральное,Кировоградская ,32К3,Улица Академика Янгеля
27,Любовь Каргалева,realtor,https://www.cian.ru/rent/flat/277134239/,Москва,rent,flat,7,9,2,45.0,45000,0,Чертаново Южное,Чертановская ,58К2,Улица Академика Янгеля
28,Никита Виноградов,realtor,https://www.cian.ru/rent/flat/264174844/,Москва,rent,flat,5,9,1,36.0,50000,0,Чертаново Центральное,Чертановская ,24К2,Южная
29,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307007810/,Москва,rent,flat,12,17,2,50.8,54900,0,Южное Бутово,Варшавское шоссе,282к1,Бульвар Дмитрия Донского
30,ID 12204,realtor,https://www.cian.ru/rent/flat/306750599/,Москва,rent,flat,3,5,2,44.0,49000,0,Зюзино, Каховка,13К5,Каховская
