,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 120914582,realtor,https://www.cian.ru/rent/flat/307797223/,Москва,rent,flat,3,5,3,58.0,78000,0,Ростокино,проспект Мира,183,Улица Сергея Эйзенштейна
1,Евгений Нефедов,realtor,https://www.cian.ru/rent/flat/307795348/,Москва,rent,flat,8,9,3,58.7,59999,0,Ярославский,Ярославское шоссе,6К2,Улица Сергея Эйзенштейна
2,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307776923/,Москва,rent,flat,14,14,3,90.0,141000,0,Свиблово,1-й Ботанический проезд,5,Улица Сергея Эйзенштейна
3,ID 9950980,realtor,https://www.cian.ru/rent/flat/307774872/,Москва,rent,flat,5,14,3,77.4,82000,0,Ярославский,Хибинский проезд,30К2,Улица Сергея Эйзенштейна
4,ID 20167,realtor,https://www.cian.ru/rent/flat/307743188/,Москва,rent,flat,3,8,3,75.0,80000,0,Алексеевский,Рижский проезд,1/5,Улица Сергея Эйзенштейна
5,ID 16230462,unknown,https://www.cian.ru/rent/flat/307705239/,Москва,rent,flat,2,5,3,57.1,180000,0,Ростокино,проезд Кадомцева,11К2,Улица Сергея Эйзенштейна
6,Юрий Сазонов,realtor,https://korolev.cian.ru/rent/flat/307704616/,Москва,rent,flat,2,5,3,51.6,36000,0,,Пионерская ,33,Улица Сергея Эйзенштейна
7,ID 25562721,unknown,https://korolev.cian.ru/rent/flat/307669883/,Москва,rent,flat,11,12,3,115.0,100000,0,,Подмосковная ,7,Улица Сергея Эйзенштейна
8,Евгений Крыжановский,realtor,https://mytishchi.cian.ru/rent/flat/307639203/,Москва,rent,flat,6,14,3,110.0,60000,0,, Веры Волошиной,33,Улица Сергея Эйзенштейна
9,ID 78281618,realtor,https://www.cian.ru/rent/flat/307618408/,Москва,rent,flat,9,9,3,64.0,80000,0,Ярославский,Ярославское шоссе,6К1,Улица Сергея Эйзенштейна
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307611089/,Москва,rent,flat,4,11,3,64.0,150000,0,Свиблово,Лазоревый проезд,1Ак1,Улица Сергея Эйзенштейна
11,Каскад,real_estate_agent,https://www.cian.ru/rent/flat/307526673/,Москва,rent,flat,4,11,3,64.0,160000,0,Свиблово,Жилой комплекс Лайф-Ботанический сад,,Улица Сергея Эйзенштейна
12,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307391443/,Москва,rent,flat,3,8,3,73.0,85000,0,Алексеевский,Рижский проезд,1/5,Улица Сергея Эйзенштейна
13,Сергей Стахов,realtor,https://www.cian.ru/rent/flat/307366983/,Москва,rent,flat,3,5,3,67.0,85000,0,Свиблово,Снежная ,17К1,Улица Сергея Эйзенштейна
14,Павел Минеев,realtor,https://www.cian.ru/rent/flat/307308869/,Москва,rent,flat,4,5,3,54.1,75000,0,Ростокино,проспект Мира,179А,Улица Сергея Эйзенштейна
15,Тёплый Дом,real_estate_agent,https://korolev.cian.ru/rent/flat/307037264/,Москва,rent,flat,14,17,3,80.7,80000,0,,Пионерская ,30к6,Улица Сергея Эйзенштейна
16,ID 77170136,unknown,https://www.cian.ru/rent/flat/306907968/,Москва,rent,flat,10,27,3,85.0,160000,0,Свиблово,Лазоревый проезд,5к5,Улица Сергея Эйзенштейна
17,Михаил Басманов,realtor,https://www.cian.ru/rent/flat/306894570/,Москва,rent,flat,6,25,3,60.0,80000,0,Алексеевский,проспект Мира,184К2,Улица Сергея Эйзенштейна
18,ID 94209156,homeowner,https://www.cian.ru/rent/flat/305513089/,Москва,rent,flat,1,12,3,69.0,80000,0,Ростокино,проспект Мира,200К2,Улица Сергея Эйзенштейна
19,AMG,real_estate_agent,https://www.cian.ru/rent/flat/304034442/,Москва,rent,flat,8,8,3,85.0,175000,0,Алексеевский,Рижский проезд,13,Улица Сергея Эйзенштейна
20,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/299504730/,Москва,rent,flat,8,8,3,85.0,175000,0,Алексеевский,Рижский проезд,13,Улица Сергея Эйзенштейна
21,HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/295148202/,Москва,rent,flat,34,38,3,120.0,200000,0,Ростокино,проспект Мира,188Бк4,Улица Сергея Эйзенштейна
22,Анна Миронова,realtor,https://www.cian.ru/rent/flat/285153962/,Москва,rent,flat,33,58,3,120.0,295000,0,Ростокино,проспект Мира,188Бк1,Улица Сергея Эйзенштейна
