,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Анна Панкратова,realtor,https://www.cian.ru/rent/flat/307794714/,Москва,rent,flat,3,17,3,74.4,90000,0,Северное Бутово, Знаменские Садки,7К2,Улица Старокачаловская
1,Ольга Миронова,realtor,https://vidnoye.cian.ru/rent/flat/307655330/,Москва,rent,flat,21,26,3,72.0,60000,0,Боброво рп, Лесная,6,
2,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307654915/,Москва,rent,flat,18,22,3,93.0,120000,0,Северное Бутово,Старокачаловская ,4,Улица Старокачаловская
3,Про Жильё,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307616172/,Москва,rent,flat,11,25,3,55.0,70000,0,,,,
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605491/,Москва,rent,flat,5,14,3,62.0,69000,0,Южное Бутово,Старонародная ,4,Улица Старокачаловская
5,Домклик Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307587194/,Москва,rent,flat,5,17,3,72.6,93500,0,Северное Бутово,Куликовская ,3,Улица Старокачаловская
6,ID 154790,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307416427/,Москва,rent,flat,21,25,3,75.0,60000,0,Боброво рп, Лесная,16к1,
7,Владимир Волошинов,realtor,https://www.cian.ru/rent/flat/307389821/,Москва,rent,flat,3,16,3,65.0,100000,0,Северное Бутово,Феодосийская ,7к4,Улица Старокачаловская
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307386759/,Москва,rent,flat,5,14,3,78.0,80000,0,Южное Бутово,2-я Мелитопольская ,21К3,Улица Старокачаловская
9,Игорь Дубравский,realtor,https://vidnoye.cian.ru/rent/flat/307384257/,Москва,rent,flat,21,25,3,80.0,75000,0,,,,
10,ID 1842136,realtor,https://vidnoye.cian.ru/rent/flat/307236266/,Москва,rent,flat,21,22,3,75.8,54000,0,Боброво рп, Лесная,2,
11,Realtme,real_estate_agent,https://www.cian.ru/rent/flat/307215333/,Москва,rent,flat,5,22,3,78.0,75000,0,Северное Бутово,Старобитцевская ,19К3,Улица Старокачаловская
12,ID 81832788,homeowner,https://www.cian.ru/rent/flat/307069426/,Москва,rent,flat,5,14,3,78.0,80000,0,Южное Бутово,2-я Мелитопольская ,21К3,Улица Старокачаловская
13,Мой Дом - отделение Добрынинское,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307042395/,Москва,rent,flat,21,22,3,60.0,53000,0,Боброво рп, Лесная,2,
14,Этажи Москва,real_estate_agent,https://vidnoye.cian.ru/rent/flat/306946967/,Москва,rent,flat,21,25,3,62.8,75000,0,Южная Битца ЖК,бульвар Южный,6,
15,ID 83003716,homeowner,https://vidnoye.cian.ru/rent/flat/306803119/,Москва,rent,flat,4,17,3,76.0,75000,0,,,,
16,Столичный Проспект,real_estate_agent,https://vidnoye.cian.ru/rent/flat/306701749/,Москва,rent,flat,18,21,3,90.0,75000,0,Южная Битца ЖК, Ботаническая,12,
17,Ирина Зиновьева,realtor,https://vidnoye.cian.ru/rent/flat/306676643/,Москва,rent,flat,18,21,3,85.0,75000,0,Южная Битца ЖК, Ботаническая,12,
18,ID 12552811,unknown,https://vidnoye.cian.ru/rent/flat/306654105/,Москва,rent,flat,2,8,3,69.0,67000,0,,бульвар Мстислава Ростроповича,5,Улица Старокачаловская
19,ID 117489569,homeowner,https://vidnoye.cian.ru/rent/flat/303052139/,Москва,rent,flat,12,22,3,89.0,69000,0,,,,
20,Виктория Дубинина,realtor,https://vidnoye.cian.ru/rent/flat/299193076/,Москва,rent,flat,8,25,3,78.0,74000,0,,,,
21,Андрей Бойчун,realtor,https://www.cian.ru/rent/flat/242651125/,Москва,rent,flat,2,17,3,82.0,90000,0,Северное Бутово, Грина,12,Улица Старокачаловская
22,ID 204959,homeowner,https://www.cian.ru/rent/flat/181039316/,Москва,rent,flat,5,14,3,62.0,69000,0,Южное Бутово,Старонародная ,4,Улица Старокачаловская
23,ID 78465245,homeowner,https://vidnoye.cian.ru/rent/flat/307682258/,Москва,rent,flat,24,25,2,77.0,58000,0,,,,
24,GylkaGroup,real_estate_agent,https://vidnoye.cian.ru/rent/flat/302326147/,Москва,rent,flat,3,25,2,60.0,45000,0,Южная Битца ЖК, Парковая,3,
