,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307745608/,Москва,rent,flat,20,23,1,42.0,95000,0,Раменки,Мичуринский проспект,13к3,Университет
1,Сергей Кобзев,realtor,https://www.cian.ru/rent/flat/307721461/,Москва,rent,flat,5,23,1,37.5,80000,0,Раменки,Мичуринский проспект,13к1,Университет
2,ID 238591,realtor,https://www.cian.ru/rent/flat/307685554/,Москва,rent,flat,16,26,1,56.0,99000,0,Гагаринский,Ленинский проспект,67к1,Университет
3,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307672417/,Москва,rent,flat,5,9,1,32.0,65000,0,Ломоносовский, Гарибальди,13К2,Университет
4,Жилсоцгарантия,real_estate_agent,https://www.cian.ru/rent/flat/307668640/,Москва,rent,flat,6,7,1,45.3,100000,0,Гагаринский, Строителей,4К3,Университет
5,ID 15059281,homeowner,https://www.cian.ru/rent/flat/307658780/,Москва,rent,flat,9,14,1,43.0,95000,0,Ломоносовский, Вавилова,84К4,Университет
6,Оксана Новикова,realtor,https://www.cian.ru/rent/flat/307632968/,Москва,rent,flat,13,13,1,41.2,65000,0,Раменки,проспект Вернадского,10к1,Университет
7,ID 93673770,homeowner,https://www.cian.ru/rent/flat/276679719/,Москва,rent,flat,20,23,1,45.0,95000,0,Раменки,Мичуринский проспект,13к3,Университет
8,Р-Траст,real_estate_agent,https://www.cian.ru/rent/flat/240859086/,Москва,rent,flat,14,16,1,38.0,60000,0,Ломоносовский, Крупской,6К2,Университет
9,ID 93921447,unknown,https://www.cian.ru/rent/flat/307658988/,Москва,rent,flat,4,5,1,32.0,50000,0,Академический, Шверника,6К1,Академическая
10,ID 1313,realtor,https://www.cian.ru/rent/flat/307553526/,Москва,rent,flat,7,17,2,57.7,60000,0,Раменки, Раменки,7К1,Раменки
11,Виктория Шмакова,realtor,https://www.cian.ru/rent/flat/307605586/,Москва,rent,flat,7,9,1,33.0,58000,0,Черемушки, Архитектора Власова,19К4,Новые Черёмушки
12,ID 22699,realtor,https://www.cian.ru/rent/flat/271799247/,Москва,rent,flat,2,5,1,31.0,57000,0,Котловка,Нагорная ,38К2,Нахимовский проспект
13,Андрей Вокин,realtor,https://www.cian.ru/rent/flat/307647164/,Москва,rent,flat,7,8,1,35.0,65000,0,Хамовники,Новодевичий проезд,4,Спортивная
14,АРМ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307548023/,Москва,rent,flat,6,17,1,40.0,70000,0,Раменки,Мичуринский проспект,31К1,Раменки
15,ID 81784885,homeowner,https://www.cian.ru/rent/flat/307635268/,Москва,rent,flat,9,9,1,34.1,50000,0,Проспект Вернадского, Лобачевского,44А,Проспект Вернадского
16,Геннадий Гаина,realtor,https://www.cian.ru/rent/flat/251289983/,Москва,rent,flat,3,9,1,38.0,60000,0,Гагаринский, Вавилова,54К2,Академическая
17,Олег Акулов,realtor,https://www.cian.ru/rent/flat/307528085/,Москва,rent,flat,1,17,1,40.0,70000,0,Академический, Дмитрия Ульянова,28К2,Академическая
18,ID 20510,real_estate_agent,https://www.cian.ru/rent/flat/191432213/,Москва,rent,flat,5,16,1,40.0,60000,0,Академический, Кедрова,3,Академическая
19,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307458379/,Москва,rent,flat,3,22,1,39.0,65000,0,Ломоносовский, Академика Пилюгина,14К2,Новаторская
20,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307677528/,Москва,rent,flat,13,14,1,42.0,110000,0,Тверской,Лесная ,10-16,Белорусская
21,Иван Мыльников,realtor,https://www.cian.ru/rent/flat/306771514/,Москва,rent,flat,7,9,1,33.0,70000,0,Тропарево-Никулино, 26 Бакинских Комиссаров,7к3,Юго-Западная
22,МДМ-квартира,real_estate_agent,https://www.cian.ru/rent/flat/307627626/,Москва,rent,flat,10,17,1,38.5,60000,0,Тропарево-Никулино, Академика Анохина,5К3,Юго-Западная
23,ID 270373,realtor,https://www.cian.ru/rent/flat/307577056/,Москва,rent,flat,3,7,2,54.0,85000,0,Гагаринский,Молодежная ,6,Университет
24,ID 8506,realtor,https://www.cian.ru/rent/flat/220405659/,Москва,rent,flat,14,16,1,36.0,65000,0,Котловка,Большая Черемушкинская ,9К2,Крымская
