,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 91773001,homeowner,https://lyubertsy.cian.ru/rent/flat/307784892/,Москва,rent,flat,8,25,1,44.0,50000,0,, Кирова,9к2,Ухтомская
1,ID 98103653,homeowner,https://lyubertsy.cian.ru/rent/flat/307781680/,Москва,rent,flat,9,25,1,37.0,60000,0,, Солнечная,2,Ухтомская
2,Павел Красавин,realtor,https://www.cian.ru/rent/flat/307777474/,Москва,rent,flat,5,16,1,41.0,50000,0,Выхино-Жулебино, Маршала Полубоярова,14,Ухтомская
3,Capital Mars,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307777387/,Москва,rent,flat,5,25,1,29.0,45000,0,,Инициативная ,13,Ухтомская
4,Олеся Кежаева,realtor,https://www.cian.ru/rent/flat/307776176/,Москва,rent,flat,11,17,1,39.0,37000,0,Выхино-Жулебино,Привольная ,27К2,Ухтомская
5,Александр Александров,realtor,https://www.cian.ru/rent/flat/307770974/,Москва,rent,flat,2,12,1,40.0,50000,0,Выхино-Жулебино, Маршала Полубоярова,8,Ухтомская
6,Парус,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307754404/,Москва,rent,flat,14,17,1,46.0,60000,0,, Шевлякова,2/24,Ухтомская
7,ID 16757722,unknown,https://lyubertsy.cian.ru/rent/flat/307752968/,Москва,rent,flat,1,5,1,30.2,45000,0,,Октябрьский проспект,88,Ухтомская
8,АВАНГАРД,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307740288/,Москва,rent,flat,12,17,1,45.1,50000,0,,Октябрьский проспект,123к5,Ухтомская
9,Яндекс Аренда,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307729137/,Москва,rent,flat,24,25,1,41.0,71000,0,, 8 Марта,18к2,Ухтомская
10,ID 11661364,realtor,https://lyubertsy.cian.ru/rent/flat/307725768/,Москва,rent,flat,6,22,1,37.3,55000,0,, Кирова,9к1,Ухтомская
11,Capital Mars,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307676684/,Москва,rent,flat,14,17,1,46.0,60000,0,, Шевлякова,2/24,Ухтомская
12,GardenGoldRealty,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307670250/,Москва,rent,flat,14,16,1,45.0,66000,0,, Шевлякова,2/24,Ухтомская
13,ID 18200,realtor,https://www.cian.ru/rent/flat/307665799/,Москва,rent,flat,22,24,1,40.1,40000,0,Косино-Ухтомский,Лухмановская ,18,Ухтомская
14,ID 120920989,homeowner,https://lyubertsy.cian.ru/rent/flat/307659388/,Москва,rent,flat,14,17,1,46.0,60000,0,, Шевлякова,2/24,Ухтомская
