,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Самолет Плюс Лобня,real_estate_agent,https://lobnya.cian.ru/rent/flat/307818212/,Москва,rent,flat,4,5,3,59.0,60000,0,, Чайковского,12,Физтех
1,ID 121296791,homeowner,https://www.cian.ru/rent/flat/307753606/,Москва,rent,flat,17,19,3,78.0,95000,0,Северный,Дмитровское шоссе,169к1,Физтех
2,ID 18515720,homeowner,https://mytishchi.cian.ru/rent/flat/307731085/,Москва,rent,flat,3,4,3,80.0,60000,0,Шолохово ЖК, Юности,2,
3,Елена Гольцман,realtor,https://mytishchi.cian.ru/rent/flat/307362187/,Москва,rent,flat,3,4,3,112.0,75000,0,пос. Поведники, Центральная,14А,
4,ID 35800189,homeowner,https://www.cian.ru/rent/flat/307206260/,Москва,rent,flat,9,14,3,72.0,70000,0,Северный,Челобитьевское шоссе,10к2,Физтех
5,ID 75254209,homeowner,https://mytishchi.cian.ru/rent/flat/306710577/,Москва,rent,flat,4,5,3,110.0,90000,0,,,,
6,ID 72329732,realtor,https://khimki.cian.ru/rent/flat/305534353/,Москва,rent,flat,5,8,3,62.0,60000,0,, Генерала Дьяконова,5,Физтех
7,Татьяна Крылова,realtor,https://mytishchi.cian.ru/rent/flat/265781448/,Москва,rent,flat,3,4,3,107.0,120000,0,пос. Поведники, Центральная,14А,
8,Самолет плюс - Москва,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307668168/,Москва,rent,flat,15,22,2,57.0,40000,0,,Набережная ,27,Водники
9,ID 13486117,unknown,https://dolgoprudny.cian.ru/rent/flat/265482300/,Москва,rent,flat,6,9,1,36.0,50000,0,, Циолковского,7,Долгопрудная
10,МИЭЛЬ,real_estate_agent,https://khimki.cian.ru/rent/flat/307720502/,Москва,rent,flat,7,9,1,34.2,38000,0,, Новозаводская,6,Новоподрезково
11,ID 86211378,homeowner,https://dolgoprudny.cian.ru/rent/flat/292359560/,Москва,rent,flat,22,24,1,26.0,40000,0,,Парковая ,52,Водники
12,Про Жильё,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307724852/,Москва,rent,flat,22,23,1,30.0,45000,0,,Парковая ,54,Долгопрудная
13,ID 15770953,homeowner,https://dolgoprudny.cian.ru/rent/flat/307584889/,Москва,rent,flat,16,23,-1,24.0,43000,0,,Парковая ,54,Долгопрудная
14,ID 17978977,homeowner,https://dolgoprudny.cian.ru/rent/flat/307626760/,Москва,rent,flat,3,3,1,20.0,37000,0,, Лизы Чайкиной,14/15,Шереметьевская
15,Классика,real_estate_agent,https://khimki.cian.ru/rent/flat/307705025/,Москва,rent,flat,3,9,2,45.0,50000,0,, Генерала Дьяконова,4,Физтех
16,ID 12855403,unknown,https://mytishchi.cian.ru/rent/flat/307520061/,Москва,rent,flat,2,6,2,65.0,100000,0,д. Грибки, Адмиральская,6с1,
17,Ирина Фролова,realtor,https://khimki.cian.ru/rent/flat/307390525/,Москва,rent,flat,3,6,1,36.0,50000,0,,проезд Набережный,22,Физтех
18,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://mytishchi.cian.ru/rent/flat/300009862/,Москва,rent,flat,4,10,1,43.0,35000,0,,,,
19,ID 24509,realtor,https://dolgoprudny.cian.ru/rent/flat/307722581/,Москва,rent,flat,1,9,3,90.0,80000,0,,Дирижабельная ,6к1,Долгопрудная
20,ID 72329732,realtor,https://dolgoprudny.cian.ru/rent/flat/307626725/,Москва,rent,flat,1,5,2,45.0,40000,0,,Театральная ,6а,Водники
21,ID 71843527,homeowner,https://lobnya.cian.ru/rent/flat/307449317/,Москва,rent,flat,21,24,2,57.0,50000,0,,Центральная ,8,Лобня
22,ID 46372323,homeowner,https://dolgoprudny.cian.ru/rent/flat/279359492/,Москва,rent,flat,19,19,1,25.0,44990,0,,проспект Ракетостроителей,3к1,Долгопрудная
23,Vira Group,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307670936/,Москва,rent,flat,2,8,3,42.3,50000,0,,Центральная ,5,Долгопрудная
