,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 12831257,unknown,https://www.cian.ru/rent/flat/307727168/,Москва,rent,flat,11,25,3,92.0,130000,0,, Радужная,14к1,Филатов Луг
1,ID 99403062,realtor,https://www.cian.ru/rent/flat/307713701/,Москва,rent,flat,12,17,3,70.2,95000,0,, Радужная,6,Филатов Луг
2,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307652076/,Москва,rent,flat,3,17,3,75.0,105000,0,,проезд Радужный,1,Филатов Луг
3,ID 23642447,unknown,https://www.cian.ru/rent/flat/307609790/,Москва,rent,flat,2,19,3,90.0,135000,0,,проспект Прокшинский,9,Филатов Луг
4,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307607385/,Москва,rent,flat,24,25,3,90.0,200000,0,, Саларьевская,8к1,Филатов Луг
5,PARTNER-ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307599831/,Москва,rent,flat,2,14,3,70.0,75000,0,, Харлампиева,50к1,Филатов Луг
6,ID 16185765,realtor,https://www.cian.ru/rent/flat/307592042/,Москва,rent,flat,13,26,3,65.0,110000,0,, Саларьевская,8к2,Филатов Луг
7,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307591486/,Москва,rent,flat,2,16,3,90.0,135300,0,,проспект Прокшинский,9,Филатов Луг
8,ID 118477563,realtor,https://www.cian.ru/rent/flat/307590538/,Москва,rent,flat,11,15,3,54.7,80000,0,, Саларьевская,9,Филатов Луг
9,ID 890569,real_estate_agent,https://www.cian.ru/rent/flat/307580429/,Москва,rent,flat,1,6,3,70.2,70000,0,, Жемчужная,1к2,Филатов Луг
10,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307565883/,Москва,rent,flat,2,3,3,78.9,60000,0,, Генерала Трошева,20,Филатов Луг
11,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://www.cian.ru/rent/flat/307540784/,Москва,rent,flat,14,16,3,64.0,80000,0,, Лобановский Лес,13,Филатов Луг
12,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307497307/,Москва,rent,flat,2,3,3,81.0,45000,0,,,36,Филатов Луг
13,Яна Булякова,realtor,https://www.cian.ru/rent/flat/307460782/,Москва,rent,flat,14,17,3,90.0,150000,0,, Большое Понизовье,5,Филатов Луг
14,Вера Сенина,realtor,https://www.cian.ru/rent/flat/307403996/,Москва,rent,flat,12,22,3,80.0,130000,0,, Картмазовские Пруды,2к1,Филатов Луг
15,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307308007/,Москва,rent,flat,2,9,3,57.0,82000,0,,бульвар Севильский,3,Филатов Луг
16,Favorite City,real_estate_agent,https://www.cian.ru/rent/flat/307297224/,Москва,rent,flat,12,22,3,85.0,115000,0,, Картмазовские Пруды,2к3,Филатов Луг
17,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307141836/,Москва,rent,flat,5,19,3,80.0,110000,0,,,к2.4,Филатов Луг
18,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307045123/,Москва,rent,flat,17,17,3,52.0,130500,0,, Красулинская,22,Филатов Луг
19,Далгат Атаев,realtor,https://www.cian.ru/rent/flat/306832398/,Москва,rent,flat,10,17,3,52.3,120000,0,, Лобановский Лес,13,Филатов Луг
20,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306694429/,Москва,rent,flat,8,15,3,84.0,147000,0,, Малое Понизовье,3,Филатов Луг
21,ID 21721,realtor,https://www.cian.ru/rent/flat/306002904/,Москва,rent,flat,5,17,3,68.0,120000,0,,проспект Прокшинский,12,Филатов Луг
22,META,real_estate_agent,https://www.cian.ru/rent/flat/261177839/,Москва,rent,flat,5,9,3,65.0,115000,0,,проспект Магеллана,2,Филатов Луг
23,ID 21864150,homeowner,https://www.cian.ru/rent/flat/203305238/,Москва,rent,flat,24,25,3,65.0,115000,0,, Саларьевская,8к3,Филатов Луг
24,ID 92569743,homeowner,https://www.cian.ru/rent/flat/307585469/,Москва,rent,flat,6,13,2,60.0,65000,0,, Летчика Грицевца,,Пыхтино
