,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Дмитрий Аверьянов,realtor,https://www.cian.ru/rent/flat/307671507/,Москва,rent,flat,24,25,2,43.0,100000,0,Бутырский, Милашенкова,1,Фонвизинская
1,Мария Рахметова,realtor,https://www.cian.ru/rent/flat/307612026/,Москва,rent,flat,3,24,2,46.0,100000,0,Бутырский, Фонвизина,18,Фонвизинская
2,Ирина Григорьева,realtor,https://www.cian.ru/rent/flat/307594796/,Москва,rent,flat,8,12,2,44.0,60000,0,Тимирязевский, Немчинова,4,Фонвизинская
3,ID 69398662,unknown,https://www.cian.ru/rent/flat/307549680/,Москва,rent,flat,15,22,2,58.2,75000,0,Марфино, Кашенкин Луг,6к2,Фонвизинская
4,Ирина Гришина,realtor,https://www.cian.ru/rent/flat/307526697/,Москва,rent,flat,5,12,2,45.0,60000,0,Тимирязевский, Немчинова,4,Фонвизинская
5,Виктория Родионова,realtor,https://www.cian.ru/rent/flat/307523299/,Москва,rent,flat,10,12,2,42.0,110000,0,Бутырский, Гончарова,7,Фонвизинская
6,К.Н. ВАШ ДОМ,real_estate_agent,https://www.cian.ru/rent/flat/307314718/,Москва,rent,flat,12,14,2,60.0,90000,0,Бутырский, Милашенкова,16,Фонвизинская
7,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307252869/,Москва,rent,flat,14,23,2,90.0,125000,0,Бутырский, Яблочкова,16,Фонвизинская
8,Ирина Гришина,realtor,https://www.cian.ru/rent/flat/307250651/,Москва,rent,flat,5,12,2,45.0,60000,0,Тимирязевский, Немчинова,4,Фонвизинская
9,ID 62253,homeowner,https://www.cian.ru/rent/flat/307126965/,Москва,rent,flat,14,23,2,90.0,125000,0,Бутырский, Яблочкова,16,Фонвизинская
10,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307037059/,Москва,rent,flat,2,23,2,51.5,80000,0,Бутырский, Фонвизина,7А,Фонвизинская
11,Олег Ляпин,realtor,https://www.cian.ru/rent/flat/306754515/,Москва,rent,flat,3,5,2,100.0,130000,0,Бутырский, Гончарова,17АК3,Фонвизинская
12,Наталья Мишина,realtor,https://www.cian.ru/rent/flat/306693177/,Москва,rent,flat,7,8,2,75.0,72000,0,Тимирязевский, Немчинова,2,Фонвизинская
13,Екатерина Ильина,realtor,https://www.cian.ru/rent/flat/306414583/,Москва,rent,flat,11,16,2,50.0,73000,0,Тимирязевский,Красностуденческий проезд,7,Фонвизинская
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306306533/,Москва,rent,flat,14,23,2,90.0,125000,0,Бутырский, Яблочкова,16,Фонвизинская
15,ID 224125,realtor,https://www.cian.ru/rent/flat/292730261/,Москва,rent,flat,3,12,2,45.0,70000,0,Бутырский, Гончарова,7,Фонвизинская
16,Марина Погуляй,realtor,https://www.cian.ru/rent/flat/285850224/,Москва,rent,flat,10,24,2,55.0,110000,0,Бутырский, Фонвизина,18,Фонвизинская
17,Евгений Черняк,realtor,https://www.cian.ru/rent/flat/285324590/,Москва,rent,flat,13,14,2,60.0,75000,0,Тимирязевский,Красностуденческий проезд,4,Фонвизинская
18,Монолит,real_estate_agent,https://www.cian.ru/rent/flat/263677575/,Москва,rent,flat,5,12,2,75.0,100000,0,Бутырский, Милашенкова,1,Фонвизинская
19,Вячеслав Гордеев,realtor,https://www.cian.ru/rent/flat/307631791/,Москва,rent,flat,1,5,2,45.0,65000,0,Тверской,Угловой переулок,21,Савёловская
20,Азбука Жилья Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307584262/,Москва,rent,flat,6,12,2,38.0,65000,0,Алексеевский,Новоалексеевская ,4К2,Алексеевская
21,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы
22,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307454901/,Москва,rent,flat,5,12,2,48.0,60000,0,Марьина роща, 4-я Марьиной рощи,6,Марьина Роща
23,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307576555/,Москва,rent,flat,4,5,2,46.0,80000,0,Тверской,Новосущевская ,14,Достоевская
24,Золотой ключ,real_estate_agent,https://www.cian.ru/rent/flat/307534474/,Москва,rent,flat,11,12,2,38.0,70000,0,Мещанский,Капельский переулок,3,Проспект Мира
