,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Юлия Горковенко,realtor,https://www.cian.ru/rent/flat/307780005/,Москва,rent,flat,9,32,2,44.0,110000,0,Ховрино, Дыбенко,7/1,Ховрино
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307744279/,Москва,rent,flat,7,12,2,55.0,75000,0,Ховрино,Зеленоградская ,17К4,Ховрино
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307743346/,Москва,rent,flat,2,17,2,57.0,65000,0,Западное Дегунино,Базовская ,15к2,Ховрино
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307676703/,Москва,rent,flat,26,33,2,32.0,79000,0,Западное Дегунино,Базовская ,15к3,Ховрино
4,ГАРАНТ,real_estate_agent,https://khimki.cian.ru/rent/flat/307603094/,Москва,rent,flat,5,9,2,45.0,50000,0,,Зеленая ,11,Ховрино
5,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://khimki.cian.ru/rent/flat/307546580/,Москва,rent,flat,23,25,2,64.0,78000,0,,Совхозная ,8,Ховрино
6,ID 85240346,homeowner,https://www.cian.ru/rent/flat/307533483/,Москва,rent,flat,12,14,2,40.0,70000,0,Ховрино,Зеленоградская ,31К3,Ховрино
7,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307532590/,Москва,rent,flat,17,30,2,42.0,125000,0,Ховрино, Дыбенко,7/1,Ховрино
8,СМАРЕНТ,real_estate_agent,https://www.cian.ru/rent/flat/307425718/,Москва,rent,flat,23,30,2,36.6,94900,0,Ховрино, Дыбенко,7/1,Ховрино
9,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307391475/,Москва,rent,flat,7,20,2,49.8,70000,0,Западное Дегунино,Базовская ,15Бк1,Ховрино
10,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307345335/,Москва,rent,flat,15,20,2,52.5,85300,0,Западное Дегунино,Ижорская ,6к2,Ховрино
11,ID 10250146,realtor,https://khimki.cian.ru/rent/flat/307334853/,Москва,rent,flat,4,25,2,60.0,55000,0,,Совхозная ,8а,Ховрино
12,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307261087/,Москва,rent,flat,5,22,2,54.0,150000,0,Левобережный,Ленинградское шоссе,69к2,Ховрино
13,ID 23442147,homeowner,https://www.cian.ru/rent/flat/306928856/,Москва,rent,flat,7,12,2,54.6,80000,0,Ховрино,Зеленоградская ,17К4,Ховрино
14,Василий Захаров,realtor,https://www.cian.ru/rent/flat/306094459/,Москва,rent,flat,10,33,2,48.0,85000,0,Западное Дегунино,Ижорская ,6к1,Ховрино
15,ID 8933554,homeowner,https://khimki.cian.ru/rent/flat/299037039/,Москва,rent,flat,24,25,2,60.0,95000,0,,Совхозная ,16к2,Ховрино
16,ID 540940,realtor,https://khimki.cian.ru/rent/flat/292753789/,Москва,rent,flat,1,9,2,46.0,55000,0,, Пожарского,6,Ховрино
17,Анна Глушук,realtor,https://www.cian.ru/rent/flat/291717829/,Москва,rent,flat,3,18,2,54.0,60000,0,Западное Дегунино,Базовская ,15к2,Ховрино
18,ID 86966,homeowner,https://www.cian.ru/rent/flat/289359883/,Москва,rent,flat,2,17,2,57.0,65000,0,Западное Дегунино,Базовская ,15к2,Ховрино
19,ID 467657,real_estate_agent,https://www.cian.ru/rent/flat/283902537/,Москва,rent,flat,12,12,2,45.0,70000,0,Ховрино,Зеленоградская ,45,Ховрино
20,ID 10489468,realtor,https://www.cian.ru/rent/flat/268838949/,Москва,rent,flat,1,12,2,44.0,60000,0,Ховрино,Зеленоградская ,33К6,Ховрино
21,ID 52258568,homeowner,https://www.cian.ru/rent/flat/256515936/,Москва,rent,flat,3,21,2,54.9,80000,0,Ховрино,Левобережная ,4к8,Ховрино
22,Михаил Акуленко,realtor,https://www.cian.ru/rent/flat/290723730/,Москва,rent,flat,9,17,2,58.7,55000,0,Левобережный,Ленинградское шоссе,128,Беломорская
23,ID 23945235,homeowner,https://www.cian.ru/rent/flat/301087690/,Москва,rent,flat,3,9,2,44.0,70000,0,Восточное Дегунино, 800-летия Москвы,11К7,Бескудниково
24,ЕРЦН,real_estate_agent,https://www.cian.ru/rent/flat/307385493/,Москва,rent,flat,17,17,1,40.0,58000,0,Головинский,Онежская ,22,Коптево
