,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307740418/,Москва,rent,flat,8,22,3,55.0,110000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Хорошёво
1,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307729208/,Москва,rent,flat,14,22,3,60.0,150000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Хорошёво
2,Екатерина Пестерева,realtor,https://www.cian.ru/rent/flat/307708644/,Москва,rent,flat,8,21,3,53.5,150000,0,Хорошево-Мневники, Мневники,5,Хорошёво
3,РОДНЫЕ СТЕНЫ,real_estate_agent,https://www.cian.ru/rent/flat/307585545/,Москва,rent,flat,9,22,3,75.9,130000,0,Хорошевский,Хорошевское шоссе,80,Хорошёво
4,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307407793/,Москва,rent,flat,5,25,3,63.0,150000,0,Хорошево-Мневники,Шелепихинская набережная,42к1,Хорошёво
5,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307201700/,Москва,rent,flat,2,5,3,74.0,70000,0,Хорошево-Мневники,проспект Маршала Жукова,7К1,Хорошёво
6,ID 401457,realtor,https://www.cian.ru/rent/flat/307155745/,Москва,rent,flat,8,27,3,73.0,165000,0,Хорошевский, Зорге,9к2,Хорошёво
7,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306786000/,Москва,rent,flat,17,20,3,138.0,250000,0,Хорошево-Мневники, Демьяна Бедного,4К2,Хорошёво
8,Мария Трофимова,realtor,https://www.cian.ru/rent/flat/306309418/,Москва,rent,flat,8,14,3,80.0,140000,0,Хорошево-Мневники, Мневники,7К1,Хорошёво
9,ДСК-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306024345/,Москва,rent,flat,3,4,3,75.0,120000,0,Хорошевский,Хорошевское шоссе,82,Хорошёво
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306018384/,Москва,rent,flat,1,9,3,57.0,70000,0,Хорошево-Мневники, Демьяна Бедного,18К2,Хорошёво
11,ID 117028780,homeowner,https://www.cian.ru/rent/flat/305907706/,Москва,rent,flat,1,9,3,57.1,75000,0,Хорошево-Мневники, Демьяна Бедного,18К2,Хорошёво
12,Ла Терра,real_estate_agent,https://www.cian.ru/rent/flat/304875527/,Москва,rent,flat,4,6,3,81.0,90000,0,Хорошевский, Зорге,6к3,Хорошёво
13,ID 11592,realtor,https://www.cian.ru/rent/flat/280600882/,Москва,rent,flat,8,12,3,64.0,100000,0,Хорошево-Мневники, Маршала Тухачевского,15,Хорошёво
14,ID 121802023,homeowner,https://www.cian.ru/rent/flat/307664211/,Москва,rent,flat,9,14,3,72.0,90000,0,Строгино, Исаковского,31,Строгино
15,Дарья Румянцева,realtor,https://www.cian.ru/rent/flat/307632693/,Москва,rent,flat,2,5,3,68.0,110000,0,Савеловский,1-я Хуторская ,2К2,Дмитровская
16,Александр Гойда,realtor,https://www.cian.ru/rent/flat/272523229/,Москва,rent,flat,3,9,3,60.0,100000,0,Пресненский, Пресненский Вал,8К3,Улица 1905 года
17,ID 21239956,realtor,https://www.cian.ru/rent/flat/307570941/,Москва,rent,flat,20,41,4,100.0,100000,0,Раменки,1-й Сетуньский проезд,8,Кутузовская
18,Максим Костромин,realtor,https://www.cian.ru/rent/flat/307301864/,Москва,rent,flat,3,5,4,100.0,100000,0,Щукино, Маршала Рыбалко,1,Октябрьское поле
19,ID 2439,realtor,https://www.cian.ru/rent/flat/307706518/,Москва,rent,flat,12,12,2,56.0,90000,0,Хорошево-Мневники, Генерала Глаголева,30К3,Панфиловская
20,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307673895/,Москва,rent,flat,11,17,2,52.0,80000,0,Хорошево-Мневники, Маршала Тухачевского,14к1,Хорошёво
21,ID 100465345,homeowner,https://www.cian.ru/rent/flat/307552263/,Москва,rent,flat,3,41,3,82.0,150000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
22,ID 121154463,homeowner,https://www.cian.ru/rent/flat/306816695/,Москва,rent,flat,5,5,3,54.9,89000,0,Аэропорт,Авиационный переулок,4,Аэропорт
23,ID 12911103,realtor,https://www.cian.ru/rent/flat/307595311/,Москва,rent,flat,4,5,3,64.0,100000,0,Замоскворечье,1-й Щипковский переулок,17,Серпуховская
24,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307287657/,Москва,rent,flat,1,12,3,63.0,117500,0,Пресненский, Малая Грузинская,33,Белорусская
