,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Оптима МСК,official_representative,https://www.cian.ru/rent/flat/307778543/,Москва,rent,flat,2,4,1,38.7,250000,0,Мещанский,Олимпийский проспект,12,Цветной бульвар
1,CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/307770942/,Москва,rent,flat,4,10,1,40.0,130000,0,Мещанский,Малая Сухаревская площадь,3,Цветной бульвар
2,Татьяна Макарова,realtor,https://www.cian.ru/rent/flat/307752074/,Москва,rent,flat,9,14,1,37.0,70000,0,Мещанский, Гиляровского,8С1,Цветной бульвар
3,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307748519/,Москва,rent,flat,3,4,1,54.0,120000,0,Мещанский,Большой Сухаревский переулок,22,Цветной бульвар
4,ID 122193970,homeowner,https://www.cian.ru/rent/flat/307740945/,Москва,rent,flat,4,10,1,40.0,130000,0,Мещанский,Малая Сухаревская площадь,3,Цветной бульвар
5,Вариант,real_estate_agent,https://www.cian.ru/rent/flat/307673416/,Москва,rent,flat,4,7,1,20.0,105000,0,Тверской,Цветной бульвар,23С1,Цветной бульвар
6,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307537446/,Москва,rent,flat,1,4,1,30.0,110000,0,Мещанский,переулок Васнецова,11К2,Цветной бульвар
7,Антонина Басенко,realtor,https://www.cian.ru/rent/flat/307520619/,Москва,rent,flat,6,9,1,35.0,120000,0,Тверской,1-й Колобовский переулок,15/6,Цветной бульвар
8,ID 17630849,realtor,https://www.cian.ru/rent/flat/307437014/,Москва,rent,flat,2,9,1,33.0,65000,0,Тверской,2-й Волконский переулок,1,Цветной бульвар
9,ID 109013674,homeowner,https://www.cian.ru/rent/flat/297497530/,Москва,rent,flat,4,10,1,32.0,80000,0,Мещанский,Малая Сухаревская площадь,3,Цветной бульвар
10,ID 84687508,homeowner,https://www.cian.ru/rent/flat/291918182/,Москва,rent,flat,3,10,1,47.8,100000,0,Тверской,Самотечная ,17А,Цветной бульвар
11,Дипломат,real_estate_agent,https://www.cian.ru/rent/flat/277316162/,Москва,rent,flat,8,8,1,40.0,100000,0,Мещанский,Малая Сухаревская площадь,2/4,Цветной бульвар
12,ID 122008115,realtor,https://www.cian.ru/rent/flat/307575538/,Москва,rent,flat,1,6,1,42.3,55000,0,Марьина роща,площадь Борьбы,13,Достоевская
13,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307576555/,Москва,rent,flat,4,5,2,46.0,80000,0,Тверской,Новосущевская ,14,Достоевская
14,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307656261/,Москва,rent,flat,2,8,2,40.0,90000,0,Пресненский,Большой Кондратьевский переулок,6,Белорусская
15,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
16,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307537332/,Москва,rent,flat,2,4,1,35.0,110000,0,Тверской,Малый Гнездниковский переулок,10,Тверская
17,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307677528/,Москва,rent,flat,13,14,1,42.0,110000,0,Тверской,Лесная ,10-16,Белорусская
18,ID 48976342,unknown,https://www.cian.ru/rent/flat/307046940/,Москва,rent,flat,3,5,2,42.0,85000,0,Тверской, Петровка,26С5,Цветной бульвар
19,Panorama Realty,real_estate_agent,https://www.cian.ru/rent/flat/307527940/,Москва,rent,flat,1,14,1,45.0,75000,0,Тверской,3-й Самотечный переулок,19,Достоевская
20,Елена Власенкова,realtor,https://www.cian.ru/rent/flat/307519893/,Москва,rent,flat,11,15,2,46.0,100000,0,Тверской,3-й Самотечный переулок,2,Цветной бульвар
21,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
22,Vershina Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307674450/,Москва,rent,flat,10,13,2,34.0,85000,0,Тверской, Малая Дмитровка,24/2,Маяковская
23,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307661338/,Москва,rent,flat,6,14,1,45.0,75000,0,Мещанский,Большая Переяславская ,6К1,Площадь трёх вокзалов
24,ID 23956980,realtor,https://www.cian.ru/rent/flat/239801992/,Москва,rent,flat,3,9,2,45.0,80000,0,Мещанский,проспект Мира,58,Проспект Мира
