,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Валерия Платонова,realtor,https://www.cian.ru/rent/flat/307779827/,Москва,rent,flat,17,33,3,52.0,110000,0,Гольяново,Амурская ,2к2,Черкизовская
1,ID 18115359,homeowner,https://www.cian.ru/rent/flat/307704202/,Москва,rent,flat,14,24,3,60.0,150000,0,Соколиная гора,Окружной проезд,10Б,Черкизовская
2,ID 475159,realtor,https://www.cian.ru/rent/flat/307697244/,Москва,rent,flat,4,9,3,60.0,90000,0,Преображенское,Большая Черкизовская ,5К1,Черкизовская
3,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307613751/,Москва,rent,flat,1,5,3,56.0,60000,0,Северное Измайлово,Щелковское шоссе,18,Черкизовская
4,Юла,real_estate_agent,https://www.cian.ru/rent/flat/307495065/,Москва,rent,flat,20,33,3,58.0,113000,0,Гольяново,Амурская ,2Ак1,Черкизовская
5,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307484120/,Москва,rent,flat,6,10,3,83.0,120000,0,Измайлово,Сиреневый бульвар,4/7,Черкизовская
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307476868/,Москва,rent,flat,6,10,3,84.0,120000,0,Измайлово,Сиреневый бульвар,4/7,Черкизовская
7,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306572660/,Москва,rent,flat,4,5,3,55.0,104000,0,Метрогородок, Николая Химушина,9К2,Черкизовская
8,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306437198/,Москва,rent,flat,1,9,3,59.0,60000,0,Северное Измайлово,Сиреневый бульвар,3К5,Черкизовская
9,ID 103757520,homeowner,https://www.cian.ru/rent/flat/302571453/,Москва,rent,flat,2,33,3,47.0,80000,0,Гольяново,Амурская ,2Ак2,Черкизовская
10,ID 94330837,homeowner,https://www.cian.ru/rent/flat/297405204/,Москва,rent,flat,9,24,3,73.0,120000,0,Гольяново,Амурская ,1/2/3,Черкизовская
11,ID 19660,realtor,https://www.cian.ru/rent/flat/189046307/,Москва,rent,flat,5,9,3,63.0,70000,0,Гольяново,Алтайская ,15,Щёлковская
12,ID 76442518,unknown,https://www.cian.ru/rent/flat/279449684/,Москва,rent,flat,6,14,2,47.0,70000,0,Преображенское,Халтуринская ,4К2,Черкизовская
13,Денис Мастяев,realtor,https://www.cian.ru/rent/flat/307391852/,Москва,rent,flat,1,5,3,60.0,60000,0,Северное Измайлово,Щелковское шоссе,42,Щёлковская
14,Юлия Смышляева,realtor,https://www.cian.ru/rent/flat/307718484/,Москва,rent,flat,2,4,3,80.0,100000,0,Восточное Измайлово,Первомайская ,80,Первомайская
15,ID 107338040,homeowner,https://www.cian.ru/rent/flat/307592081/,Москва,rent,flat,4,9,2,48.5,80000,0,Восточное Измайлово,Первомайская ,113К1,Первомайская
16,Антон Репин,realtor,https://www.cian.ru/rent/flat/301162346/,Москва,rent,flat,6,9,3,65.0,55000,0,Гольяново,Щелковское шоссе,79К1,Щёлковская
17,АКРУС-сити,real_estate_agent,https://www.cian.ru/rent/flat/278475310/,Москва,rent,flat,10,12,3,65.0,75000,0,Басманный, Госпитальный Вал,3К5,Лефортово
18,ID 234792,real_estate_agent,https://www.cian.ru/rent/flat/307679785/,Москва,rent,flat,12,22,3,76.4,85000,0,Алексеевский,Маломосковская ,21К1,ВДНХ
19,Светлана Фалеева,realtor,https://www.cian.ru/rent/flat/195840488/,Москва,rent,flat,7,14,2,47.0,65000,0,Измайлово,Измайловский проезд,5К2,Измайловская
20,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/307664991/,Москва,rent,flat,3,14,3,60.0,70000,0,Богородское,3-я Гражданская ,3,Бульвар Рокоссовского
21,Марина Сидорова,realtor,https://www.cian.ru/rent/flat/291838999/,Москва,rent,flat,3,5,3,60.0,80000,0,Соколиная гора, Семеновский Вал,10К2,Семёновская
22,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307622922/,Москва,rent,flat,13,24,2,39.0,75000,0,Метрогородок,Тагильская ,4В,Черкизовская
23,ID 20198169,realtor,https://www.cian.ru/rent/flat/257723004/,Москва,rent,flat,8,9,3,60.0,70000,0,Гольяново,Алтайская ,10,Щёлковская
24,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307432607/,Москва,rent,flat,2,4,3,50.0,75000,0,Измайлово,Измайловский проезд,6,Измайловская
