,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307750116/,Москва,rent,flat,6,25,1,42.0,85000,0,Зюзино,Симферопольский бульвар,30к3,Чертановская
1,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307741057/,Москва,rent,flat,5,15,1,38.0,60000,0,Чертаново Северное,Северное Чертаново мкр,4к405,Чертановская
2,Андрей Парамзин,realtor,https://www.cian.ru/rent/flat/307724097/,Москва,rent,flat,5,9,1,33.0,40000,0,Чертаново Центральное, Красного Маяка,11К5,Чертановская
3,Георгий Иванов,realtor,https://www.cian.ru/rent/flat/307717006/,Москва,rent,flat,10,14,1,42.0,63000,0,Чертаново Северное,Чертановская ,7К2,Чертановская
4,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307716965/,Москва,rent,flat,4,16,1,36.8,45000,0,Чертаново Центральное,Днепропетровская ,19К1,Чертановская
5,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307715031/,Москва,rent,flat,4,16,1,36.8,45000,0,Чертаново Центральное,Днепропетровская ,19К1,Чертановская
6,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307707489/,Москва,rent,flat,1,12,1,33.0,43000,0,Чертаново Северное,Сумской проезд,4К4,Чертановская
7,Эльза Соломонович,realtor,https://www.cian.ru/rent/flat/307703725/,Москва,rent,flat,18,25,1,40.0,53000,0,Чертаново Северное,Северное Чертаново мкр,5кА,Чертановская
8,ID 9796894,realtor,https://www.cian.ru/rent/flat/307684185/,Москва,rent,flat,6,24,1,40.3,65000,0,Зюзино,Симферопольский бульвар,24К3,Чертановская
9,Виталий Татраев,realtor,https://www.cian.ru/rent/flat/307664166/,Москва,rent,flat,14,14,1,36.0,48000,0,Чертаново Северное,Сумской проезд,21К2,Чертановская
10,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307624991/,Москва,rent,flat,14,17,1,40.0,80000,0,Чертаново Северное,Балаклавский проспект,5,Чертановская
11,Анастасия Строганова,realtor,https://www.cian.ru/rent/flat/307623571/,Москва,rent,flat,14,17,1,38.0,80000,0,Чертаново Северное,Балаклавский проспект,5,Чертановская
12,ID 49279389,homeowner,https://www.cian.ru/rent/flat/307612678/,Москва,rent,flat,12,12,1,33.0,65000,0,Чертаново Северное,Сумской проезд,12К3,Чертановская
13,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307612582/,Москва,rent,flat,12,12,1,38.0,65000,0,Чертаново Северное,Сумской проезд,12К3,Чертановская
14,Михаил Ивакин,realtor,https://www.cian.ru/rent/flat/307611349/,Москва,rent,flat,13,14,1,35.3,50000,0,Чертаново Северное,Сумской проезд,21К1,Чертановская
15,Суламит-НГС,real_estate_agent,https://www.cian.ru/rent/flat/307528334/,Москва,rent,flat,8,17,1,36.5,70000,0,Зюзино,Балаклавский проспект,20К4,Чертановская
16,ID 121390764,realtor,https://www.cian.ru/rent/flat/307497620/,Москва,rent,flat,14,16,1,52.0,65000,0,Зюзино,Азовская ,24К1,Чертановская
17,Ирина Камаева,realtor,https://www.cian.ru/rent/flat/307463360/,Москва,rent,flat,23,24,1,41.7,85000,0,Зюзино,Симферопольский бульвар,24К6,Чертановская
18,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307454113/,Москва,rent,flat,6,14,1,50.0,78000,0,Зюзино,Азовская ,24К1,Чертановская
19,ID 53631764,homeowner,https://www.cian.ru/rent/flat/307367096/,Москва,rent,flat,6,14,1,50.0,78000,0,Зюзино,Азовская ,24К1,Чертановская
