,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 121214110,real_estate_agent,https://www.cian.ru/rent/flat/307784945/,Москва,rent,flat,7,16,1,40.0,80000,0,Перово, Плющева,17К1,Чухлинка
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307772915/,Москва,rent,flat,8,15,1,40.0,85000,0,Рязанский,Рязанский проспект,6А,Чухлинка
2,Unique Property,real_estate_agent,https://www.cian.ru/rent/flat/307771220/,Москва,rent,flat,8,15,1,38.8,85000,0,Рязанский,Рязанский проспект,6А,Чухлинка
3,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307770516/,Москва,rent,flat,3,23,1,38.0,95000,0,Рязанский,2-й Грайвороновский проезд,44к3,Чухлинка
4,DAYCOME,real_estate_agent,https://www.cian.ru/rent/flat/307762568/,Москва,rent,flat,4,16,1,39.0,50000,0,Перово,Мастеровая ,8,Чухлинка
5,Мария Чучина,realtor,https://www.cian.ru/rent/flat/307756668/,Москва,rent,flat,4,12,1,37.0,45000,0,Рязанский, Коновалова,5,Чухлинка
6,Сергей Павлов,realtor,https://www.cian.ru/rent/flat/307755957/,Москва,rent,flat,5,17,1,42.0,70000,0,Рязанский, Михайлова,30Ак4,Чухлинка
7,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307742570/,Москва,rent,flat,8,33,1,25.0,55000,0,Рязанский, Михайлова,30Ак2,Чухлинка
8,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307716219/,Москва,rent,flat,6,33,1,28.0,70000,0,Рязанский, Михайлова,30Ак1,Чухлинка
9,Александр Фефелов,realtor,https://www.cian.ru/rent/flat/307707575/,Москва,rent,flat,11,12,1,35.3,50000,0,Перово, Аносова,3К1,Чухлинка
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307651333/,Москва,rent,flat,3,33,1,37.0,90000,0,Рязанский, Михайлова,30Ак2,Чухлинка
11,ID 113405620,unknown,https://www.cian.ru/rent/flat/307641584/,Москва,rent,flat,1,5,1,26.0,48000,0,Перово, Лазо,8К2,Чухлинка
12,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307634967/,Москва,rent,flat,2,33,1,30.0,63000,0,Рязанский, Михайлова,30Ак2,Чухлинка
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307564909/,Москва,rent,flat,14,23,1,38.0,70000,0,Рязанский,2-й Грайвороновский проезд,44к3,Чухлинка
14,BOND недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307534867/,Москва,rent,flat,3,33,1,36.0,90000,0,Рязанский, Михайлова,30Ак2,Чухлинка
15,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307531147/,Москва,rent,flat,14,23,1,38.0,70000,0,Рязанский,2-й Грайвороновский проезд,44к3,Чухлинка
16,ID 55274520,official_representative,https://www.cian.ru/rent/flat/307524475/,Москва,rent,flat,14,33,1,38.0,70000,0,Рязанский, Михайлова,30Ак4,Чухлинка
17,ID 121960028,homeowner,https://www.cian.ru/rent/flat/307523236/,Москва,rent,flat,14,23,1,38.0,70000,0,Рязанский,2-й Грайвороновский проезд,44к3,Чухлинка
18,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307504969/,Москва,rent,flat,3,33,1,37.0,75000,0,Рязанский, Михайлова,30Ак2,Чухлинка
19,Елена Лагутина,realtor,https://www.cian.ru/rent/flat/307400567/,Москва,rent,flat,10,12,1,36.0,50000,0,Рязанский,Зарайская ,51К1,Чухлинка
20,Евгений Андреев,realtor,https://www.cian.ru/rent/flat/307387050/,Москва,rent,flat,18,30,1,40.2,65000,0,Рязанский, Михайлова,30Ак1,Чухлинка
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307362969/,Москва,rent,flat,5,32,1,24.0,70000,0,Рязанский, Михайлова,30Ак2,Чухлинка
22,ID 47414316,homeowner,https://www.cian.ru/rent/flat/307277471/,Москва,rent,flat,31,33,1,39.2,80000,0,Рязанский, Михайлова,30Ак2,Чухлинка
23,ИНГРУПП,real_estate_agent,https://www.cian.ru/rent/flat/306717045/,Москва,rent,flat,13,20,1,39.0,75000,0,Рязанский, Михайлова,31А,Чухлинка
24,Маргарита Рудакова,realtor,https://www.cian.ru/rent/flat/300227159/,Москва,rent,flat,7,16,1,40.0,80000,0,Перово, Плющева,17К1,Чухлинка
25,Юлия Дусина,realtor,https://www.cian.ru/rent/flat/294890059/,Москва,rent,flat,2,20,1,41.0,65000,0,Рязанский, Михайлова,31А,Чухлинка
26,Андрей Тавлинцев,realtor,https://www.cian.ru/rent/flat/292819266/,Москва,rent,flat,10,12,1,34.0,50000,0,Перово, Аносова,3К1,Чухлинка
27,ID 88463561,realtor,https://www.cian.ru/rent/flat/307369755/,Москва,rent,flat,1,5,1,32.0,45000,0,Рязанский, Федора Полетаева,5К2,Окская
28,ID 84553139,unknown,https://www.cian.ru/rent/flat/307149929/,Москва,rent,flat,3,5,1,32.0,41000,0,Рязанский,Яснополянская ,3К1,Окская
29,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/266816134/,Москва,rent,flat,8,12,1,37.0,54000,0,Текстильщики,Волжский бульвар,20А,Текстильщики
