,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Елена Соколова,realtor,https://www.cian.ru/rent/flat/307781260/,Москва,rent,flat,9,25,2,37.0,100000,0,Филевский парк,Береговой проезд,5Ак6,Шелепиха
1,KAIF,real_estate_agent,https://www.cian.ru/rent/flat/307779761/,Москва,rent,flat,3,46,2,50.0,160000,0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха
2,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307775893/,Москва,rent,flat,11,33,2,36.0,160000,0,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха
3,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307773052/,Москва,rent,flat,3,29,2,50.0,123000,0,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307770813/,Москва,rent,flat,13,22,2,54.0,170000,0,Филевский парк,Береговой проезд,5к2,Шелепиха
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756598/,Москва,rent,flat,2,16,2,54.0,60000,0,Филевский парк,Филевский бульвар,21,Шелепиха
6,ID 25911543,realtor,https://www.cian.ru/rent/flat/307752210/,Москва,rent,flat,26,37,2,70.0,250000,0,Хорошево-Мневники,Шелепихинская набережная,34к1зд5,Шелепиха
7,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307749752/,Москва,rent,flat,19,19,2,55.0,170000,0,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха
8,ID 16624866,realtor,https://www.cian.ru/rent/flat/307741112/,Москва,rent,flat,19,32,2,53.0,170000,0,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха
9,ID 7988,realtor,https://www.cian.ru/rent/flat/307728154/,Москва,rent,flat,2,16,2,55.0,85000,0,Филевский парк,Филевский бульвар,16,Шелепиха
10,Тимур Ярыш,realtor,https://www.cian.ru/rent/flat/307716517/,Москва,rent,flat,2,28,2,65.3,140000,0,Филевский парк,Береговой проезд,1Б,Шелепиха
11,ID 120488227,real_estate_agent,https://www.cian.ru/rent/flat/307708356/,Москва,rent,flat,20,21,2,44.6,160000,0,Хорошевский,1-я Магистральная ,25,Шелепиха
12,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307707128/,Москва,rent,flat,3,41,2,45.0,160000,0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307706402/,Москва,rent,flat,3,46,2,45.0,160000,0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха
14,ID 122143920,realtor,https://www.cian.ru/rent/flat/307704637/,Москва,rent,flat,4,16,2,75.0,95000,0,Филевский парк,Береговой проезд,7,Шелепиха
15,АнВи,real_estate_agent,https://www.cian.ru/rent/flat/307701898/,Москва,rent,flat,20,21,2,45.0,140000,0,Филевский парк,Береговой проезд,5к3,Шелепиха
16,Руслан Кадиров,realtor,https://www.cian.ru/rent/flat/307697573/,Москва,rent,flat,37,40,2,45.0,135000,0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха
17,Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307693087/,Москва,rent,flat,3,41,2,45.0,160000,0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха
18,ID 40880229,homeowner,https://www.cian.ru/rent/flat/307682879/,Москва,rent,flat,13,22,2,54.0,170000,0,Филевский парк,Береговой проезд,5к2,Шелепиха
19,ID 116273332,real_estate_agent,https://www.cian.ru/rent/flat/307682057/,Москва,rent,flat,13,48,2,60.0,130000,0,Пресненский,Мукомольный проезд,2,Шелепиха
20,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307668538/,Москва,rent,flat,2,6,2,45.0,145000,0,Пресненский,Шмитовский проезд,39к1,Шелепиха
21,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307667072/,Москва,rent,flat,26,46,2,56.0,149000,0,Пресненский,Мукомольный проезд,2,Шелепиха
22,Елена Монахова,realtor,https://www.cian.ru/rent/flat/307660280/,Москва,rent,flat,14,24,2,40.0,140000,0,Хорошево-Мневники,Шелепихинская набережная,34к4зд8,Шелепиха
23,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307634961/,Москва,rent,flat,21,22,2,65.0,170000,0,Хорошевский,1-я Магистральная ,25,Шелепиха
24,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307632889/,Москва,rent,flat,2,30,2,50.0,150000,0,Хорошево-Мневники,Шелепихинская набережная,40к3,Шелепиха
25,Liberty Estate,real_estate_agent,https://www.cian.ru/rent/flat/307629634/,Москва,rent,flat,17,20,2,45.0,130000,0,Филевский парк,Большая Филевская ,3к2,Шелепиха
26,RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/307627184/,Москва,rent,flat,2,6,2,45.0,135000,0,Пресненский,Шмитовский проезд,39к1,Шелепиха
27,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307616286/,Москва,rent,flat,37,48,2,40.0,172500,0,Пресненский,Мукомольный проезд,2,Шелепиха
