,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Светлана Мордвинова,realtor,https://www.cian.ru/rent/flat/307721980/,Москва,rent,flat,4,9,2,45.0,57000,0,Зябликово,Ореховый проезд,31,Шипиловская
1,ID 3920944,realtor,https://www.cian.ru/rent/flat/307671461/,Москва,rent,flat,5,17,2,52.0,65000,0,Орехово-Борисово Южное,Воронежская ,48к1,Шипиловская
2,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307661574/,Москва,rent,flat,4,14,2,54.0,82000,0,Зябликово,Кустанайская ,11к1,Шипиловская
3,ID 7446392,unknown,https://www.cian.ru/rent/flat/307639152/,Москва,rent,flat,6,17,2,53.1,70000,0,Орехово-Борисово Южное,Воронежская ,44К1,Шипиловская
4,АВАНГАРД,real_estate_agent,https://www.cian.ru/rent/flat/307631366/,Москва,rent,flat,10,12,2,52.5,70000,0,Зябликово,Шипиловская ,37К1,Шипиловская
5,Лана Бубнова,realtor,https://www.cian.ru/rent/flat/307629540/,Москва,rent,flat,21,28,2,67.0,125000,0,Зябликово,Ореховый бульвар,24К1,Шипиловская
6,ID 82850,realtor,https://www.cian.ru/rent/flat/307625995/,Москва,rent,flat,4,17,2,57.0,70000,0,Орехово-Борисово Северное, Маршала Захарова,12К3,Шипиловская
7,Новая Высота,real_estate_agent,https://www.cian.ru/rent/flat/307551685/,Москва,rent,flat,2,12,2,51.6,72000,0,Орехово-Борисово Южное,Воронежская ,38/43,Шипиловская
8,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/307548719/,Москва,rent,flat,2,16,2,62.0,80000,0,Орехово-Борисово Северное, Генерала Белова,29К2,Шипиловская
9,ID 17042,realtor,https://www.cian.ru/rent/flat/307403691/,Москва,rent,flat,3,12,2,45.0,65000,0,Зябликово,Шипиловская ,48К2,Шипиловская
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307335703/,Москва,rent,flat,21,28,2,67.0,125000,0,Зябликово,Ореховый бульвар,24К1,Шипиловская
11,ID 13749286,unknown,https://www.cian.ru/rent/flat/307304371/,Москва,rent,flat,13,17,2,51.5,70000,0,Орехово-Борисово Южное,Гурьевский проезд,11К1,Шипиловская
12,ВИТА,real_estate_agent,https://dzerzhinsky.cian.ru/rent/flat/307100432/,Москва,rent,flat,12,21,2,75.0,70000,0,,Угрешская ,32с1,Шипиловская
13,Денис Пронин,realtor,https://www.cian.ru/rent/flat/306957889/,Москва,rent,flat,25,30,2,40.0,70000,0,Зябликово,Ореховый бульвар,24к3,Шипиловская
14,ID 26292,homeowner,https://www.cian.ru/rent/flat/299633404/,Москва,rent,flat,8,14,2,50.2,80000,0,Братеево,Алма-Атинская ,4,Шипиловская
15,ID 12904045,realtor,https://www.cian.ru/rent/flat/299592571/,Москва,rent,flat,4,14,2,52.2,65000,0,Братеево,Братеевская ,25К1,Шипиловская
16,ID 109810205,homeowner,https://www.cian.ru/rent/flat/294933087/,Москва,rent,flat,6,17,2,57.4,60000,0,Зябликово, Мусы Джалиля,5К2,Шипиловская
17,Татьяна Топильская,realtor,https://www.cian.ru/rent/flat/294784357/,Москва,rent,flat,8,9,2,45.0,65000,0,Орехово-Борисово Северное,Борисовский проезд,36К4,Шипиловская
18,ID 174179,unknown,https://www.cian.ru/rent/flat/290962943/,Москва,rent,flat,5,12,2,46.0,65000,0,Зябликово, Мусы Джалиля,13,Шипиловская
19,ID 96716388,homeowner,https://www.cian.ru/rent/flat/279395150/,Москва,rent,flat,2,16,2,56.0,75000,0,Зябликово,Шипиловская ,54К1,Шипиловская
20,Дмитрий Шевченко,realtor,https://www.cian.ru/rent/flat/273466726/,Москва,rent,flat,6,14,2,57.0,70000,0,Братеево,Братеевская ,33К2,Шипиловская
21,Анна Черкасова,realtor,https://www.cian.ru/rent/flat/265515504/,Москва,rent,flat,3,16,2,60.0,75000,0,Зябликово, Мусы Джалиля,27К2,Шипиловская
22,Светлана Биличенко,realtor,https://www.cian.ru/rent/flat/247534068/,Москва,rent,flat,14,17,2,52.0,50000,0,Орехово-Борисово Южное,Гурьевский проезд,23К2,Шипиловская
23,ДИАЛОГ ГАРАНТ,real_estate_agent,https://www.cian.ru/rent/flat/234481769/,Москва,rent,flat,14,14,2,56.0,60000,0,Братеево,Паромная ,7К3,Шипиловская
24,ID 17267044,homeowner,https://www.cian.ru/rent/flat/232711796/,Москва,rent,flat,5,9,2,45.0,60000,0,Зябликово,Кустанайская ,6К3,Шипиловская
25,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307107899/,Москва,rent,flat,6,9,2,48.0,50000,0,Орехово-Борисово Южное,Ореховый бульвар,12К2,Домодедовская
26,ID 23336317,homeowner,https://www.cian.ru/rent/flat/249603821/,Москва,rent,flat,11,17,1,39.0,60000,0,Братеево, Борисовские Пруды,14К2,Борисово
27,ID 55045676,unknown,https://www.cian.ru/rent/flat/307614424/,Москва,rent,flat,7,22,1,40.0,45000,0,Орехово-Борисово Северное,Борисовский проезд,16,Шипиловская
