,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Марина Коваль,realtor,https://www.cian.ru/rent/flat/307722948/,Москва,rent,flat,5,12,2,52.0,65000,0,Соколиная гора, 5-я Соколиной Горы,25К4,Шоссе Энтузиастов
1,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307634425/,Москва,rent,flat,4,9,2,45.0,62000,0,Перово, Металлургов,2,Шоссе Энтузиастов
2,ID 583323,realtor,https://www.cian.ru/rent/flat/307509773/,Москва,rent,flat,5,5,2,44.2,50000,0,Соколиная гора,проспект Буденного,20К1,Шоссе Энтузиастов
3,ID 22111376,unknown,https://www.cian.ru/rent/flat/307418284/,Москва,rent,flat,4,5,2,38.0,60000,0,Перово,1-я Владимирская ,12К2,Шоссе Энтузиастов
4,ID 116129834,homeowner,https://www.cian.ru/rent/flat/307405628/,Москва,rent,flat,1,12,2,58.0,93000,0,Соколиная гора, 9-я Соколиной Горы,19,Шоссе Энтузиастов
5,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307166080/,Москва,rent,flat,4,5,2,52.0,70000,0,Соколиная гора, Бориса Жигуленкова,4,Шоссе Энтузиастов
6,Анна Пименова,realtor,https://www.cian.ru/rent/flat/306413239/,Москва,rent,flat,7,12,2,46.7,52000,0,Перово,Перовская ,10К1,Шоссе Энтузиастов
7,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305055453/,Москва,rent,flat,18,23,2,60.0,120000,0,Соколиная гора,проспект Буденного,51к5,Шоссе Энтузиастов
8,ID 111202318,homeowner,https://www.cian.ru/rent/flat/307643098/,Москва,rent,flat,2,14,2,87.0,70000,0,Таганский,Сосинская ,6,Пролетарская
9,Алена Семина,realtor,https://www.cian.ru/rent/flat/297873410/,Москва,rent,flat,1,5,2,42.0,50000,0,Восточное Измайлово,9-я Парковая ,4,Первомайская
10,i-deal,real_estate_agent,https://www.cian.ru/rent/flat/307636594/,Москва,rent,flat,4,12,2,45.0,54000,0,Новогиреево,Союзный проспект,9К2,Новогиреево
11,ID 118024453,homeowner,https://www.cian.ru/rent/flat/307640512/,Москва,rent,flat,2,16,2,54.0,43000,0,Ивановское,Малый Купавенский проезд,3,Новогиреево
12,Эльмира Гуряева,realtor,https://www.cian.ru/rent/flat/304321348/,Москва,rent,flat,3,5,1,23.4,32000,0,Перово,Зеленый проспект,25К3,Перово
13,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307428761/,Москва,rent,flat,16,25,1,36.0,55000,0,Соколиная гора,Вольная ,28/4к1,Соколиная гора
14,ID 44825581,real_estate_agent,https://www.cian.ru/rent/flat/295664419/,Москва,rent,flat,4,5,1,15.0,40000,0,Перово,Зеленый проспект,25К3,Перово
15,Андрей Иванов,realtor,https://www.cian.ru/rent/flat/307625055/,Москва,rent,flat,9,14,2,50.0,45000,0,Вешняки,Кетчерская ,2К3,Новогиреево
16,ID 85745033,homeowner,https://www.cian.ru/rent/flat/270709183/,Москва,rent,flat,13,16,2,50.9,50000,0,Нижегородский,Смирновская ,5,Калитники
17,Михаил Мальцев,realtor,https://www.cian.ru/rent/flat/307602380/,Москва,rent,flat,9,9,2,45.0,50000,0,Новогиреево,Полимерная ,7,Кусково
18,КОНСИНГО,real_estate_agent,https://www.cian.ru/rent/flat/307539344/,Москва,rent,flat,5,9,2,45.0,60000,0,Преображенское,2-я Пугачевская ,10К1,Преображенская площадь
19,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307613751/,Москва,rent,flat,1,5,3,56.0,60000,0,Северное Измайлово,Щелковское шоссе,18,Черкизовская
20,ID 101151122,unknown,https://www.cian.ru/rent/flat/297187196/,Москва,rent,flat,12,17,2,53.0,55000,0,Таганский,переулок Ковров,26С1,Площадь Ильича
21,Владимир Журавлев,realtor,https://www.cian.ru/rent/flat/307606986/,Москва,rent,flat,4,5,2,40.6,50000,0,Северное Измайлово,Никитинская ,27К1,Измайловская
22,ID 12457325,realtor,https://www.cian.ru/rent/flat/307407500/,Москва,rent,flat,6,12,2,38.0,55000,0,Новогиреево, Алексея Дикого,5К2,Новогиреево
23,BARSANDKEY,real_estate_agent,https://www.cian.ru/rent/flat/307442846/,Москва,rent,flat,13,16,1,38.0,48000,0,Преображенское, Преображенский Вал,26,Преображенская площадь
24,ID 50594252,homeowner,https://www.cian.ru/rent/flat/307650899/,Москва,rent,flat,6,10,2,45.0,53000,0,Выхино-Жулебино,Ташкентская ,25К1,Юго-Восточная
