,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Горизонт,real_estate_agent,https://www.cian.ru/rent/flat/307751936/,Москва,rent,flat,4,5,2,46.0,60000,0,Северное Измайлово,Щелковский проезд,11К1,Щёлковская
1,ID 472386,unknown,https://balashikha.cian.ru/rent/flat/307751612/,Москва,rent,flat,20,24,2,65.0,75000,0,,проезд Акуловский,4,Щёлковская
2,СМАРЕНТ,real_estate_agent,https://shchyolkovo.cian.ru/rent/flat/307745658/,Москва,rent,flat,3,17,2,56.0,40000,0,,,1к1,Щёлковская
3,Михаил Джу,realtor,https://www.cian.ru/rent/flat/307743767/,Москва,rent,flat,1,5,2,45.0,75000,0,Восточное Измайлово,Сиреневый бульвар,42/22К3,Щёлковская
4,ID 12859261,realtor,https://www.cian.ru/rent/flat/307740823/,Москва,rent,flat,6,17,2,53.4,65000,0,Гольяново,Хабаровская ,4,Щёлковская
5,ID 35480,realtor,https://www.cian.ru/rent/flat/307725190/,Москва,rent,flat,10,15,2,54.0,75000,0,Восточное Измайлово,Первомайская ,112,Щёлковская
6,Про Жильё,real_estate_agent,https://balashikha.cian.ru/rent/flat/307723640/,Москва,rent,flat,8,17,2,65.0,53000,0,,,11,Щёлковская
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721247/,Москва,rent,flat,5,10,2,50.0,70000,0,Северное Измайлово,7-я Парковая ,33К5,Щёлковская
8,МГСН,real_estate_agent,https://www.cian.ru/rent/flat/307713364/,Москва,rent,flat,3,5,2,46.0,65000,0,Северное Измайлово,11-я Парковая ,54К3,Щёлковская
9,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307711670/,Москва,rent,flat,8,15,2,70.0,60000,0,Северное Измайлово,15-я Парковая ,42К5,Щёлковская
10,Альбина Максютова,realtor,https://www.cian.ru/rent/flat/307710466/,Москва,rent,flat,1,5,2,42.0,45000,0,Северное Измайлово,Щелковский проезд,15К2,Щёлковская
11,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307695763/,Москва,rent,flat,3,19,2,61.8,120000,0,Измайлово,Никитинская ,10,Щёлковская
12,ID 119597,realtor,https://www.cian.ru/rent/flat/307688731/,Москва,rent,flat,5,9,2,45.0,70000,0,Гольяново,Алтайская ,32,Щёлковская
13,Тимур Сарвари,realtor,https://www.cian.ru/rent/flat/307686817/,Москва,rent,flat,2,17,2,53.0,62000,0,Северное Измайлово,15-я Парковая ,49,Щёлковская
14,Региональное,real_estate_agent,https://balashikha.cian.ru/rent/flat/307675938/,Москва,rent,flat,4,17,2,62.0,50000,0,,Солнечная ,21,Щёлковская
15,Ольга Титова,realtor,https://www.cian.ru/rent/flat/307670143/,Москва,rent,flat,4,5,2,42.0,50000,0,Северное Измайлово,Никитинская ,18,Щёлковская
16,ID 20956497,realtor,https://www.cian.ru/rent/flat/307669704/,Москва,rent,flat,13,16,2,52.0,60000,0,Восточное Измайлово,Первомайская ,92,Щёлковская
17,BARSANDKEY,real_estate_agent,https://www.cian.ru/rent/flat/307668524/,Москва,rent,flat,5,10,2,50.0,70000,0,Северное Измайлово,7-я Парковая ,33К5,Щёлковская
18,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307668454/,Москва,rent,flat,2,17,2,55.0,85000,0,Гольяново,Уральская ,1к1,Щёлковская
19,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307667567/,Москва,rent,flat,3,5,2,42.0,65000,0,Северное Измайлово,5-я Парковая ,66/38,Щёлковская
20,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://shchyolkovo.cian.ru/rent/flat/307657717/,Москва,rent,flat,4,4,2,44.1,40000,0,, Пушкина,2,Щёлковская
21,ID 276913,unknown,https://balashikha.cian.ru/rent/flat/307651003/,Москва,rent,flat,12,25,2,54.0,50000,0,, Дмитриева,8,Щёлковская
22,EMPIRE HOME,real_estate_agent,https://balashikha.cian.ru/rent/flat/307636579/,Москва,rent,flat,3,24,2,49.0,45000,0,, Дмитриева,28,Щёлковская
23,ID 21057333,realtor,https://balashikha.cian.ru/rent/flat/307635941/,Москва,rent,flat,8,16,2,64.0,45000,0,, Майкла Лунна,8,Щёлковская
24,ID 120963231,homeowner,https://balashikha.cian.ru/rent/flat/307626707/,Москва,rent,flat,3,25,2,49.0,45000,0,, Дмитриева,28,Щёлковская
25,Владимир Журавлев,realtor,https://www.cian.ru/rent/flat/307606986/,Москва,rent,flat,4,5,2,40.6,50000,0,Северное Измайлово,Никитинская ,27К1,Щёлковская
26,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606194/,Москва,rent,flat,4,9,2,48.5,80000,0,Восточное Измайлово,Первомайская ,113К1,Щёлковская
27,ID 122037744,homeowner,https://balashikha.cian.ru/rent/flat/307603099/,Москва,rent,flat,7,25,2,56.0,45000,0,, Дмитриева,28,Щёлковская
