,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Комфорт,real_estate_agent,https://www.cian.ru/rent/flat/307793965/,Москва,rent,flat,6,16,3,80.0,150000,0,Тропарево-Никулино,проспект Вернадского,97,Юго-Западная
1,Владимир Новиков-Денисенко,realtor,https://www.cian.ru/rent/flat/307774994/,Москва,rent,flat,6,16,3,79.0,80000,0,Тропарево-Никулино, Академика Анохина,6К2,Юго-Западная
2,ID 79957865,unknown,https://www.cian.ru/rent/flat/307744588/,Москва,rent,flat,7,22,3,82.0,100000,0,Тропарево-Никулино,Никулинская ,31,Юго-Западная
3,Вера Шейн,realtor,https://www.cian.ru/rent/flat/307727918/,Москва,rent,flat,5,29,3,78.0,100000,0,Теплый Стан,Ленинский проспект,131,Юго-Западная
4,Premium Realty,real_estate_agent,https://www.cian.ru/rent/flat/307722022/,Москва,rent,flat,27,33,3,154.0,270000,0,Тропарево-Никулино,проспект Вернадского,94к2,Юго-Западная
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307703126/,Москва,rent,flat,8,16,3,75.0,94999,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,14,Юго-Западная
6,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307697596/,Москва,rent,flat,8,16,3,75.0,95000,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,14,Юго-Западная
7,ID 16254,realtor,https://www.cian.ru/rent/flat/307685806/,Москва,rent,flat,3,5,3,60.0,85000,0,Проспект Вернадского,проспект Вернадского,24,Юго-Западная
8,ID 122124968,homeowner,https://www.cian.ru/rent/flat/307683566/,Москва,rent,flat,8,16,3,75.0,95000,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,14,Юго-Западная
9,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307609166/,Москва,rent,flat,11,17,3,79.0,150000,0,Тропарево-Никулино, Академика Анохина,5К2,Юго-Западная
10,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307607391/,Москва,rent,flat,16,24,3,128.0,150000,0,Тропарево-Никулино, Коштоянца,20К4,Юго-Западная
11,СДЕЛКА,real_estate_agent,https://www.cian.ru/rent/flat/307571016/,Москва,rent,flat,8,17,3,86.0,110000,0,Теплый Стан,Ленинский проспект,127,Юго-Западная
12,ID 115858741,homeowner,https://www.cian.ru/rent/flat/307568946/,Москва,rent,flat,11,21,3,110.0,145000,0,Тропарево-Никулино, Академика Анохина,2К1,Юго-Западная
